pair	gene_name_a	gene_name_b	contact_probability	pDockQ	PPV_from_pDockQ	model_confidence	iPAE	CCC	orf_name_a	orf_name_b	MAPPIT_result	GPCA_result	novel	no_previous_structure
YLL027W_YLR048W	ISA1	RPS0B	0.6705048	0.143	0.71391784	0.2697241726798457	23.275032	0	YLL027W	YLR048W	False	False	True	True
YDR373W_YGL006W-A	FRQ1	YGL006W-A	0.989812	0.254	0.78549007	0.6193206241761676	5.1020727	47	YDR373W	YGL006W-A	True	False	True	True
YMR265C_YPR072W	YMR265C	NOT5	0.44944263	0.238	0.77766077	0.28903070449527885	24.682657	0	YMR265C	YPR072W	False	False	True	True
YIL065C_YMR026C	FIS1	PEX12	0.65425515	0.111	0.68635536	0.33466833801476104	20.835602	0	YIL065C	YMR026C	False	False	True	True
YGL061C_YKR037C	DUO1	SPC34	0.8913139	0.053	0.63555449	0.25818684267887393	24.160675	0	YGL061C	YKR037C	False	False	False	False
YDR373W_YLR099W-A	FRQ1	MIM2	0.9028768	0.11	0.68635536	0.44530727634494105	10.371788	0	YDR373W	YLR099W-A	False	False	True	True
YDR280W_YGR195W	RRP45	SKI6	0.999727	0.576	0.92420274	0.850633788992744	4.16808	94	YDR280W	YGR195W	True	True	False	False
YDR088C_YGR074W	SLU7	SMD1	0.33207464	0.088	0.66728511	0.1991209724144286	23.461885	0	YDR088C	YGR074W	False	True	False	True
YLR203C_YPL065W	MSS51	VPS28	0.54810977	0.035	0.63555449	0.3624207249018572	21.7928	0	YLR203C	YPL065W	False	False	True	True
YMR153W_YPR159C-A	NUP53	YPR159C-A	0.9268395	0.109	0.68635536	0.43046843716824773	9.528326	0	YMR153W	YPR159C-A	False	False	True	True
YDR281C_YNL204C	PHM6	SPS18	0.62984836	0.05	0.63555449	0.19172000201179207	23.826586	0	YDR281C	YNL204C	False	False	True	True
YEL044W_YNL059C	IES6	ARP5	0.99990064	0.719	0.98128027	0.8045173407944908	4.410281	217	YEL044W	YNL059C	True	True	False	False
YDL147W_YDR179C	RPN5	CSN9	0.9984524	0.28	0.80223507	0.8491515068847938	2.9771812	40	YDL147W	YDR179C	False	False	False	False
YLR240W_YPL100W	VPS34	ATG21	0.26811278	0.052	0.63555449	0.25729947837199707	24.969917	0	YLR240W	YPL100W	False	False	True	True
YEL013W_YMR251W-A	VAC8	HOR7	0.75253713	0.399	0.86040801	0.5548414343191055	14.09552	0	YEL013W	YMR251W-A	False	False	True	True
YLL049W_YNL086W	LDB18	SNN1	0.75595367	0.064	0.63555449	0.2615800431671854	18.997536	0	YLL049W	YNL086W	False	False	True	True
YBR255C-A_YCL056C	RCF3	PEX34	0.7661689	0.072	0.66728511	0.31666532496909977	18.632284	0	YBR255C-A	YCL056C	False	False	True	True
YDR295C_YPR083W	HDA2	MDM36	0.21829118	0.233	0.77766077	0.2342665549209207	28.931593	0	YDR295C	YPR083W	False	False	True	True
YDL013W_YJL110C	SLX5	GZF3	0.9804453	0.138	0.70615739	0.3690052794538843	26.394783	44	YDL013W	YJL110C	False	False	True	True
YIL065C_YNL100W	FIS1	MIC27	0.32538798	0.039	0.63555449	0.18006954968994518	22.49895	0	YIL065C	YNL100W	False	False	True	True
YNR039C_YOR067C	ZRG17	ALG8	0.3064674	0.047	0.63555449	0.26715778803047435	26.141111	0	YNR039C	YOR067C	False	True	True	True
YHR036W_YMR153W	BRL1	NUP53	0.8449806	0.052	0.63555449	0.2571129367206776	26.53637	0	YHR036W	YMR153W	False	False	True	True
YDR228C_YPL065W	PCF11	VPS28	0.3284466	0.087	0.66728511	0.21654041337660102	26.641258	0	YDR228C	YPL065W	False	False	True	True
YBL107C_YLR433C	MIX23	CNA1	0.31270108	0.049	0.63555449	0.2778629299640196	26.224709	0	YBL107C	YLR433C	False	False	True	True
YIL152W_YML064C	YIL152W	TEM1	0.92581224	0.21	0.75941223	0.5087513988631187	25.842766	0	YIL152W	YML064C	False	False	True	True
YHL006C_YJR141W	SHU1	IPA1	0.6132329	0.07	0.66728511	0.3277871867333414	19.706047	0	YHL006C	YJR141W	False	False	True	True
YNL055C_YPR107C	POR1	YTH1	0.59949344	0.031	0.63555449	0.34249344993073805	12.729112	0	YNL055C	YPR107C	False	False	True	True
YBR170C_YDR130C	NPL4	FIN1	0.6495183	0.194	0.74006263	0.31091715885118865	22.939472	0	YBR170C	YDR130C	False	False	True	True
YCR020W-B_YFR037C	HTL1	RSC8	0.8395918	0.122	0.70615739	0.3777422576969163	23.01079	0	YCR020W-B	YFR037C	False	False	False	False
YBR260C_YDR200C	RGD1	VPS64	0.910926	0.149	0.71391784	0.3084389657586554	30.40036	15	YBR260C	YDR200C	False	False	True	True
YGR048W_YNL042W	UFD1	BOP3	0.9939824	0.309	0.81190228	0.4819030287765882	11.776539	35	YGR048W	YNL042W	False	False	True	True
YDL098C_YNL189W	SNU23	SRP1	0.51835114	0.134	0.70615739	0.3240308460538879	25.108242	0	YDL098C	YNL189W	False	False	True	True
YHL004W_YPL173W	MRP4	MRPL40	0.40263057	0.062	0.63555449	0.18559185827051922	25.787024	0	YHL004W	YPL173W	False	False	False	True
YPL264C_YPR159W	YPL264C	KRE6	0.6996144	0.148	0.71391784	0.43608787520203157	27.062029	0	YPL264C	YPR159W	False	False	True	True
YBR175W_YKR081C	SWD3	RPF2	0.7315861	0.223	0.77766077	0.5144835023446911	13.304061	0	YBR175W	YKR081C	False	False	True	True
YIR018W_YOR039W	YAP5	CKB2	0.96009135	0.242	0.77766077	0.5947463378718749	3.9619935	36	YIR018W	YOR039W	False	False	True	True
YGR034W_YNL153C	RPL26B	GIM3	0.53502536	0.065	0.63555449	0.2780628944709083	18.843224	0	YGR034W	YNL153C	False	False	True	True
YLR347C_YMR023C	KAP95	MSS1	0.33098054	0.503	0.90043139	0.26765125108437227	26.707287	0	YLR347C	YMR023C	False	False	True	True
YDL053C_YGR178C	PBP4	PBP1	0.9956168	0.389	0.86040801	0.41773902081143904	17.482403	94	YDL053C	YGR178C	False	True	False	False
YJR046W_YPL166W	TAH11	ATG29	0.484168	0.049	0.63555449	0.2687056313097286	24.463676	0	YJR046W	YPL166W	True	False	True	True
YKL138C-A_YKR037C	HSK3	SPC34	0.9570233	0.22	0.77766077	0.5995652572216733	11.666334	6	YKL138C-A	YKR037C	False	False	False	True
YER134C_YML088W	YER134C	UFO1	0.18991292	0.178	0.74006263	0.24184551800939005	24.25175	0	YER134C	YML088W	False	False	True	True
YML088W_YOR008C-A	UFO1	YOR008C-A	0.98063064	0.064	0.63555449	0.5833349983689816	14.36521	24	YML088W	YOR008C-A	False	False	True	True
YMR256C_YPL112C	COX7	PEX25	0.6001549	0.059	0.63555449	0.31701733126849524	25.200047	0	YMR256C	YPL112C	False	False	True	True
YBR114W_YPR083W	RAD16	MDM36	0.30811912	0.048	0.63555449	0.24001583135613755	30.023985	0	YBR114W	YPR083W	False	False	True	True
YFR015C_YOR060C	GSY1	SLD7	0.20290008	0.089	0.66728511	0.2616943624416838	27.011019	0	YFR015C	YOR060C	False	False	True	True
YML064C_YPR128C	TEM1	ANT1	0.4246047	0.116	0.68635536	0.2746337168017208	23.028648	0	YML064C	YPR128C	False	False	True	True
YFL060C_YLR291C	SNO3	GCD7	0.85036457	0.113	0.68635536	0.6182134776369616	9.481849	0	YFL060C	YLR291C	False	False	True	True
YGL054C_YHR036W	ERV14	BRL1	0.6238148	0.102	0.68635536	0.36742942490926067	21.02345	0	YGL054C	YHR036W	False	False	True	True
YLR417W_YMR077C	VPS36	VPS20	0.5865234	0.112	0.68635536	0.26038439596747776	25.97681	0	YLR417W	YMR077C	False	False	False	True
YAL067W-A_YDL116W	YAL067W-A	NUP84	0.47195917	0.154	0.73044282	0.42410176585556947	25.249308	0	YAL067W-A	YDL116W	False	False	True	True
YMR068W_YMR094W	AVO2	CTF13	0.36090666	0.217	0.75941223	0.250859477546291	28.80988	0	YMR068W	YMR094W	False	False	True	True
YGR268C_YJR128W	HUA1	YJR128W	0.9862377	0.085	0.66728511	0.4347943731305043	11.77853	35	YGR268C	YJR128W	False	False	True	True
YIL001W_YOR158W	YIL001W	PET123	0.24972048	0.084	0.66728511	0.2529439973760649	28.542608	0	YIL001W	YOR158W	False	False	True	True
YGL115W_YNR071C	SNF4	YNR071C	0.16991644	0.147	0.71391784	0.2605497413241604	27.072645	0	YGL115W	YNR071C	False	False	True	True
YGR034W_YLR212C	RPL26B	TUB4	0.81182396	0.177	0.74006263	0.5876809147171838	14.95982	0	YGR034W	YLR212C	False	False	True	True
YDL134C_YJR128W	PPH21	YJR128W	0.452227	0.053	0.63555449	0.37423606252951724	16.103178	0	YDL134C	YJR128W	False	False	True	True
YCL056C_YNL100W	PEX34	MIC27	0.32842812	0.03	0.63555449	0.16742812604657797	22.7249	0	YCL056C	YNL100W	False	False	True	True
YJL179W_YPL018W	PFD1	CTF19	0.29997322	0.029	0.55890174	0.2157845615041306	23.010822	0	YJL179W	YPL018W	False	False	False	True
YJL036W_YLR423C	SNX4	ATG17	0.7653354	0.043	0.63555449	0.36157225389084596	12.147074	0	YJL036W	YLR423C	True	False	False	True
YDR084C_YGL198W	TVP23	YIP4	0.99868363	0.376	0.85453785	0.7465683249936206	3.6260395	59	YDR084C	YGL198W	False	True	False	False
YJL044C_YOR089C	GYP6	VPS21	0.9997895	0.469	0.88570037	0.787951907156313	2.3976707	64	YJL044C	YOR089C	False	False	True	True
YJL136C_YML024W	RPS21B	RPS17A	0.31576142	0.069	0.63555449	0.16062399645076414	25.93714	0	YJL136C	YML024W	False	False	False	True
YLR347C_YPL059W	KAP95	GRX5	0.6521013	0.264	0.78549007	0.43560077371596967	17.38459	0	YLR347C	YPL059W	False	False	True	True
YKR063C_YLL035W	LAS1	GRC3	0.9993869	0.694	0.98128027	0.7978325541386417	4.0724983	165	YKR063C	YLL035W	True	True	False	False
YER112W_YNL147W	LSM4	LSM7	0.99975395	0.405	0.87116417	0.7000830518548551	4.1238317	56	YER112W	YNL147W	False	False	False	False
YER143W_YIL148W	DDI1	RPL40A	0.8038428	0.206	0.75941223	0.4923056718159423	19.664455	0	YER143W	YIL148W	False	False	True	False
YDR311W_YLR423C	TFB1	ATG17	0.5997038	0.191	0.74006263	0.36604943008729207	29.079128	0	YDR311W	YLR423C	False	False	True	True
YDL200C_YLR048W	MGT1	RPS0B	0.17353085	0.0	0.0	0.20501589019134014	50.0	0	YDL200C	YLR048W	False	False	True	True
YCL033C_YJR046W	MXR2	TAH11	0.9191017	0.209	0.75941223	0.5582940521117423	13.894694	0	YCL033C	YJR046W	False	False	True	True
YKL192C_YLR239C	ACP1	LIP2	0.99825907	0.269	0.80223507	0.7854814232824092	2.8606522	43	YKL192C	YLR239C	False	False	True	True
YJL036W_YKL012W	SNX4	PRP40	0.7356417	0.018	0.55890174	0.5205174287277736	6.834797	0	YJL036W	YKL012W	False	False	True	True
YNL290W_YOL094C	RFC3	RFC4	0.9728601	0.608	0.9400192	0.7993204793666192	8.116724	60	YNL290W	YOL094C	True	True	False	False
YDR308C_YHR148W	SRB7	IMP3	0.45923573	0.083	0.66728511	0.2413215856633491	24.372972	0	YDR308C	YHR148W	False	False	True	True
YGR048W_YNR012W	UFD1	URK1	0.6593929	0.213	0.75941223	0.4089909680433178	21.51161	0	YGR048W	YNR012W	False	False	True	True
YJR010C-A_YPR159C-A	SPC1	YPR159C-A	0.9757417	0.105	0.68635536	0.40586291522159373	8.106771	0	YJR010C-A	YPR159C-A	False	False	True	True
YJR152W_YML132W	DAL5	COS3	0.24600491	0.276	0.80223507	0.29202146456500067	26.999664	0	YJR152W	YML132W	False	False	True	True
YNL075W_YPL018W	IMP4	CTF19	0.56644154	0.07	0.66728511	0.24982648649111652	28.29403	0	YNL075W	YPL018W	False	False	True	True
YDR130C_YJR011C	FIN1	YJR011C	0.9368011	0.178	0.74006263	0.5859265779113847	24.100302	1	YDR130C	YJR011C	False	False	True	True
YLR433C_YOR157C	CNA1	PUP1	0.9019517	0.068	0.63555449	0.5129430169777662	20.10366	0	YLR433C	YOR157C	False	False	True	True
YHL004W_YNL086W	MRP4	SNN1	0.40720436	0.06	0.63555449	0.2354588757397919	24.079609	0	YHL004W	YNL086W	False	False	True	True
YDR375C_YML031W	BCS1	NDC1	0.24662276	0.037	0.63555449	0.2833565355598999	24.947802	0	YDR375C	YML031W	False	False	True	True
YLR227C_YPL070W	ADY4	MUK1	0.74490416	0.149	0.71391784	0.41179202446213625	27.46275	0	YLR227C	YPL070W	False	False	True	True
YCR075W-A_YMR213W	EGO2	CEF1	0.8033136	0.12	0.68635536	0.546891671194101	12.306562	0	YCR075W-A	YMR213W	False	False	True	True
YBL020W_YDL088C	RFT1	ASM4	0.73929965	0.166	0.73044282	0.39731215154100763	16.532906	0	YBL020W	YDL088C	False	False	True	True
YER127W_YMR232W	LCP5	FUS2	0.9825932	0.144	0.71391784	0.3549848322632282	28.22396	15	YER127W	YMR232W	False	False	True	True
YDL226C_YPL199C	GCS1	YPL199C	0.9591174	0.19	0.74006263	0.5437252065655936	22.217007	7	YDL226C	YPL199C	False	False	True	True
YGL209W_YML128C	MIG2	MSC1	0.5218921	0.042	0.63555449	0.2490710986134263	27.535889	0	YGL209W	YML128C	False	False	True	True
YHR060W_YKL119C	VMA22	VPH2	0.9775337	0.176	0.73044282	0.5889516945825246	4.559316	38	YHR060W	YKL119C	False	False	False	False
YBR123C_YPL225W	TFC1	YPL225W	0.45756143	0.037	0.63555449	0.34174759719060477	20.926353	0	YBR123C	YPL225W	False	False	True	True
YHR129C_YLR102C	ARP1	APC9	0.41083002	0.047	0.63555449	0.2869469185345344	20.513294	0	YHR129C	YLR102C	False	False	True	True
YDL049C_YJR110W	KNH1	YMR1	0.5440047	0.119	0.68635536	0.3658073286648083	18.870811	0	YDL049C	YJR110W	False	False	True	True
YDL098C_YGR075C	SNU23	PRP38	0.9998612	0.618	0.9400192	0.7963301577118134	2.6842287	102	YDL098C	YGR075C	True	True	False	False
YGL225W_YPR159W	VRG4	KRE6	0.7885608	0.171	0.73044282	0.47439351830765114	15.654348	0	YGL225W	YPR159W	False	False	True	True
YML088W_YMR090W	UFO1	YMR090W	0.5681493	0.308	0.81190228	0.317057521461949	27.021254	0	YML088W	YMR090W	False	False	True	True
YGR003W_YOL133W	CUL3	HRT1	0.99746025	0.562	0.91629946	0.6503871381198214	4.5171638	110	YGR003W	YOL133W	False	False	False	False
YNL153C_YPL188W	GIM3	POS5	0.9581878	0.235	0.77766077	0.7422028271062977	4.823343	18	YNL153C	YPL188W	False	False	True	True
YGL080W_YLR356W	MPC1	ATG33	0.6422635	0.072	0.66728511	0.2171319787338622	17.932774	0	YGL080W	YLR356W	False	False	True	True
YGR128C_YPL126W	UTP8	NAN1	0.99854755	0.645	0.96322524	0.8328576598951956	7.745869	121	YGR128C	YPL126W	True	False	False	False
YGR168C_YPR128C	YGR168C	ANT1	0.514382	0.107	0.68635536	0.2484899640959924	26.339388	0	YGR168C	YPR128C	False	False	False	True
YER136W_YFL005W	GDI1	SEC4	0.77325964	0.141	0.71391784	0.5575619916992843	11.609273	0	YER136W	YFL005W	False	True	False	False
YMR100W_YNL094W	MUB1	APP1	0.69422376	0.151	0.71391784	0.31945398435012906	26.277063	0	YMR100W	YNL094W	False	False	True	True
YBL078C_YNL223W	ATG8	ATG4	0.99962366	0.659	0.98128027	0.8920907992070412	3.926955	120	YBL078C	YNL223W	False	False	False	False
YMR077C_YNL189W	VPS20	SRP1	0.3015018	0.075	0.66728511	0.24194793716432944	24.781536	0	YMR077C	YNL189W	False	False	True	True
YBR126C_YPL152W	TPS1	RRD2	0.48716095	0.148	0.71391784	0.315244735372436	25.480434	0	YBR126C	YPL152W	False	False	True	True
YLR288C_YPR018W	MEC3	RLF2	0.9913318	0.214	0.75941223	0.6308615710577306	26.405167	62	YLR288C	YPR018W	True	False	True	True
YGL116W_YJL030W	CDC20	MAD2	0.99836576	0.622	0.9400192	0.8239505680363747	27.772263	61	YGL116W	YJL030W	True	True	False	False
YGL001C_YOL073C	ERG26	DSC2	0.8730779	0.291	0.80223507	0.46118704835681396	15.571624	0	YGL001C	YOL073C	False	False	True	True
YDR373W_YGR082W	FRQ1	TOM20	0.9185725	0.274	0.80223507	0.5479610144724806	11.170401	3	YDR373W	YGR082W	False	False	True	True
YLR433C_YMR073C	CNA1	IRC21	0.6585057	0.18	0.74006263	0.3571028466787745	27.271996	0	YLR433C	YMR073C	False	False	True	True
YML051W_YMR153W	GAL80	NUP53	0.9280314	0.264	0.78549007	0.6889190439719205	14.949891	1	YML051W	YMR153W	False	False	True	True
YKL018C-A_YLR356W	YKL018C-A	ATG33	0.73539823	0.043	0.63555449	0.1873419931972437	19.425758	0	YKL018C-A	YLR356W	False	False	True	True
YIR017C_YNL182C	MET28	IPI3	0.83940446	0.077	0.66728511	0.34146579325524345	25.74723	0	YIR017C	YNL182C	False	False	False	True
YDL188C_YLR392C	PPH22	ART10	0.8115225	0.196	0.74006263	0.47917643518278386	14.94857	0	YDL188C	YLR392C	False	False	True	True
YJL031C_YJR046W	BET4	TAH11	0.3826962	0.052	0.63555449	0.2592934394871394	25.386765	0	YJL031C	YJR046W	False	False	True	True
YFR021W_YPL166W	ATG18	ATG29	0.8940302	0.244	0.77766077	0.48265238857428605	26.900278	0	YFR021W	YPL166W	False	False	True	True
YCR099C_YPR017C	YCR099C	DSS4	0.5289804	0.085	0.66728511	0.23292765414034866	19.082644	0	YCR099C	YPR017C	False	False	True	True
YER007C-A_YJR014W	TMA20	TMA22	0.99919355	0.492	0.8919553	0.8739620664500971	2.723888	70	YER007C-A	YJR014W	True	True	False	False
YBR182C_YPL169C	SMP1	MEX67	0.59585285	0.228	0.77766077	0.24579630606618388	29.38033	0	YBR182C	YPL169C	False	False	True	True
YJR050W_YLR291C	ISY1	GCD7	0.6614713	0.066	0.63555449	0.33268366450773845	23.657036	0	YJR050W	YLR291C	False	False	True	True
YDR078C_YML051W	SHU2	GAL80	0.18899614	0.076	0.66728511	0.25229034765814207	26.331572	0	YDR078C	YML051W	False	False	True	True
YJR011C_YML003W	YJR011C	YML003W	0.31595588	0.057	0.63555449	0.2222549249531541	23.90158	0	YJR011C	YML003W	False	False	True	True
YGR133W_YNL100W	PEX4	MIC27	0.48313883	0.056	0.63555449	0.22592022927258765	16.883682	0	YGR133W	YNL100W	False	False	True	True
YJL177W_YKR048C	RPL17B	NAP1	0.42378935	0.125	0.70615739	0.2676516665900124	24.065777	0	YJL177W	YKR048C	False	False	True	True
YBR107C_YDR254W	IML3	CHL4	0.998603	0.652	0.96322524	0.8370962021109831	2.5304341	110	YBR107C	YDR254W	True	True	False	False
YDL002C_YER092W	NHP10	IES5	0.9983355	0.434	0.87822061	0.6320165661430284	6.417181	61	YDL002C	YER092W	False	False	False	False
