OrthoDB_ID	Yeast_ORF	Gene_Name	Description
1003372at2759	YDR266C	HEL2	E3 ubiquitin-protein ligase HEL2 chromosome 4  4 1002023 1000104 C  2011-02-03 1996-07-31 RING finger ubiquitin ligase (E3); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; computational analysis suggests a role as a transcription factor
1003638at2759	YOR176W	HEM15	ferrochelatase HEM15 chromosome 15 L000000766 15 662401 663582 W  2011-02-03 1996-07-31 Ferrochelatase; a mitochondrial inner membrane protein, catalyzes insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway; human homolog FECH can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid
1004067at2759	YDR226W	ADK1	adenylate kinase ADK1|AKY2|AKY1 chromosome 4 L000000046 4 916486 917154 W 133.0 2011-02-03 1996-07-31 Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress; mutations affecting Adk1p catalytic activity deregulate expression of phosphate utilization genes PHO5 and PHO84; human homolog AK1 can complement yeast adk1 mutant
1004679at2759	YKR080W	MTD1	methylenetetrahydrofolate dehydrogenase (NAD(+)) chromosome 11 L000001210 11 590395 591357 W  2011-02-03 1996-07-31 NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase; plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas1p and Bas2p, repressed by adenine, and may be induced by inositol and choline
100501at2759	YJR090C	GRR1	SCF ubiquitin ligase complex subunit GRR1|SDC1|SSU2|COT2|CAT80 chromosome 10 L000000730 10 594327 590872 C 60.0 2011-02-03 1996-07-31 F-box protein component of an SCF ubiquitin-ligase complex; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCF(Grr1) complex; SCF(Grr1) acts as a ubiquitin-protein ligase directing ubiquitination of substrates such as: Gic2p, Mks1p, Mth1p, Cln1p, Cln2p and Cln3p; involved in carbon catabolite repression, glucose-dependent divalent cation transport, glucose transport, morphogenesis, and sulfite detoxification
1005796at2759	YDR464W	SPP41	 chromosome 4 L000002019 4 1388872 1393179 W 297.0 2011-02-03 1996-07-31 Protein of unknown function; involved in negative regulation of expression of spliceosome components PRP4 and PRP3; relocalizes to the cytosol in response to hypoxia
100626at2759	YBR229C	ROT2	glucan 1,3-alpha-glucosidase ROT2|GLS2 chromosome 2 L000003405 2 679221 676357 C  2011-02-03 1997-01-28 Glucosidase II catalytic subunit; required to trim the final glucose in N-linked glycans; required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations
100698at2759	YIL143C	SSL2	TFIIH/NER complex ATPase/helicase subunit SSL2|RAD25|LOM3 chromosome 9 L000002086 9 83041 80510 C  1994-12-10 1994-12-10 Component of RNA polymerase transcription factor TFIIH holoenzyme; acts as dsDNA-dependent translocase in context of TFIIH, unwinds DNA strands during initiation and promotes transcription start site (TSS) scanning; has DNA-dependent ATPase/helicase activity; interacts functionally with TFIIB, has roles in TSS selection and gene looping to juxtapose initiation and termination regions; involved in DNA repair; relocalizes to cytosol under hypoxia; homolog of human ERCC3
100699at2759	YPR105C	COG4	Golgi transport complex subunit COG4|SGF1|SEC38|COD1 chromosome 16 S000007660 16 739569 736984 C  2011-02-03 1996-07-31 Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments
1007373at2759	YPL173W	MRPL40	mitochondrial 54S ribosomal protein YmL40|YmL40 chromosome 16 L000002696 16 223143 224036 W  2011-02-03 1996-07-31 Mitochondrial ribosomal protein of the large subunit
1007928at2759	YPR021C	AGC1	amino acid transporter AGC1 chromosome 16  16 603357 600649 C  2011-02-03 1996-07-31 Mitochondrial amino acid transporter; acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis; human homolog SLC25A13 complements yeast null mutant
1007936at2759	YGR257C	MTM1	 chromosome 7  7 1007305 1006205 C  2011-02-03 1996-07-31 Mitochondrial protein of the mitochondrial carrier family; high affinity pyridoxal 5'-phosphate (PLP) transporter, important for delivery of PLP cofactor to mitochondrial enzymes; involved in mitochondrial iron homeostasis and in activating mitochondrial Sod2p by facilitating insertion of an essential manganese cofactor
1008380at2759	YNL217W		putative serine/threonine-protein phosphatase chromosome 14  14 240331 241311 W  2011-02-03 1996-07-31 Putative protein of unknown function; weak sequence similarity to bis (5'-nucleotidyl)-tetraphosphatases; (GFP)-fusion protein localizes to the vacuole; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate
1008844at2759	YLR389C	STE23	metalloendopeptidase chromosome 12 L000003081 12 902660 899577 C  2004-02-05 2004-02-05|1996-07-31 Metalloprotease; involved in N-terminal processing of pro-a-factor to mature form; expressed in both haploids and diploids; one of two yeast homologs of human insulin-degrading enzyme (hIDE); homolog Axl1p is also involved in processing of pro-a-factor
1009123at2759	YGR208W	SER2	phosphoserine phosphatase chromosome 7 L000001866 7 911883 912812 W 168.0 2011-02-03 1996-07-31 Phosphoserine phosphatase of the phosphoglycerate pathway; involved in serine and glycine biosynthesis, expression is regulated by the available nitrogen source
1009175at2759	YMR241W	YHM2	 chromosome 13 L000004516 13 751961 752905 W  2011-02-03 1996-07-31 Citrate and oxoglutarate carrier protein; exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents; also associates with mt nucleoids and has a role in replication and segregation of the mt genome
1009673at2759	YMR268C	PRP24	U6 snRNP complex subunit PRP24 chromosome 13 L000002842 13 804222 802888 C  2011-02-03 1996-07-31 Splicing factor that reanneals snRNPs during spliceosome recycling; reanneals U4 and U6 snRNPs
1009851at2759	YOR023C	AHC1	 chromosome 15  15 377712 376012 C  2006-01-05 1996-07-31 Subunit of the Ada histone acetyltransferase complex; required for structural integrity of the complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; Ahc2p may tether Ahc1p to the complex
1009881at2759	YDR131C		 chromosome 4  4 718460 716790 C  2011-02-03 1996-07-31 F-box protein subunit of SCF ubiquitin ligase complex; substrate-specific adaptor subunit that recruits substrates to a core ubiquitination complex
100993at2759	YOL034W	SMC5	DNA repair ATPase SMC5 chromosome 15  15 259923 263204 W  2011-02-03 1996-07-31 Subunit of the SMC5-SMC6 complex; the SMC5-SMC6 complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; binds single-stranded DNA and has ATPase activity; supports nucleolar function; S. pombe homolog forms a heterodimer with S. pombe Rad18p that is involved in DNA repair
1009961at2759	YLR135W	SLX4	 chromosome 12  12 413281 415527 W  2011-02-03 1996-07-31 Endonuclease involved in processing DNA; acts during recombination, repair; promotes template switching during break-induced replication (BIR), causing non-reciprocal translocations (NRTs); cleaves branched structures in complex with Slx1p; involved in interstrand cross-link repair, Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during DSBR via single-strand annealing; relative distribution to nuclear foci increases upon DNA replication stress; FANCP-related factor
100998at2759	YDL195W	SEC31	WEB1 chromosome 4 L000002484 4 107208 111029 W  2011-02-03 1996-07-31|2011-02-03 Component of the Sec13p-Sec31p complex of the COPII vesicle coat; COPII coat is required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance
1010560at2759	YBR160W	CDC28	cyclin-dependent serine/threonine-protein kinase CDC28|SRM5|HSL5 chromosome 2 L000000267 2 560078 560974 W 90.0 2011-02-03 1997-01-28 Cyclin-dependent kinase (CDK) catalytic subunit; master regulator of mitotic and meiotic cell cycles; alternately associates with G1, S, G2/M phase cyclins, which provide substrate specificity; regulates metabolism, basal transcription, chromosome dynamics, growth and morphogenesis; transcript induction in osmostress involves antisense RNA; human homologs CDK1, CDK2, CDK3 can complement yeast conditional cdc28 mutants; human CDK1, CDK2 can complement yeast cdc28 null mutant
1010730at2759	YNL207W	RIO2	protein kinase RIO2 chromosome 14  14 255353 256630 W  2011-02-03 1996-07-31 Essential serine kinase involved in the processing of 20S pre-rRNA; involved in the processing of the 20S pre-rRNA into mature 18S rRNA; has similarity to Rio1p
1011022at2759	YKL075C		 chromosome 11  11 294308 292956 C  2011-02-03 1996-07-31 Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; proposed to be involved in resistance to streptozotocin and camptothecin
1011220at2759	YPL028W	ERG10	acetyl-CoA C-acetyltransferase|TSM0115|LPB3 chromosome 16 L000000576 16 498096 499292 W -22.0 2011-02-03 1996-07-31 Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase); cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis; human ACAT1 functionally complements the growth defect caused by repression of ERG10 expression
101142at2759	YCR032W	BPH1	 chromosome 3 L000003507 3 179520 186023 W  2011-02-03 2000-09-13|1997-01-28 Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse, respectively, due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting
1011883at2759	YJL149W	DAS1	DUH1|SCF ubiquitin ligase complex subunit DAS1 chromosome 10  10 137379 139370 W  2011-02-03 1996-07-31 Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C
1012066at2759	YBR088C	POL30	proliferating cell nuclear antigen|PCNA chromosome 2 L000001463 2 425766 424990 C  2011-02-03 1997-01-28 Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing
1012379at2759	YNL064C	YDJ1	MAB3|type I HSP40 co-chaperone YDJ1|HSP40|MAS5 chromosome 14 L000002503|L0000 14 507097 505868 C  2011-02-03 1996-07-31 Type I HSP40 co-chaperone; involved in regulation of HSP90 and HSP70 functions; acts as an adaptor that helps Rsp5p recognize cytosolic misfolded proteins for ubiquitination after heat shock; critical for determining cell size at Start as a function of growth rate; involved in protein translocation across membranes; member of the DnaJ family; chimeric protein in which human p58IPK J domain replaces yeast Ydj1p J domain can complement yeast ydj1 mutant
1013000at2759	YOL089C	HAL9	 chromosome 15 L000004704 15 153490 150398 C  2006-01-05 1996-07-31 Putative transcription factor containing a zinc finger; overexpression increases salt tolerance through increased expression of the ENA1 (Na+/Li+ extrusion pump) gene while gene disruption decreases both salt tolerance and ENA1 expression; HAL9 has a paralog, TBS1, that arose from the whole genome duplication
1013108at2759	YCR066W	RAD18	E3 ubiquitin-protein ligase RAD18 chromosome 3 L000001567 3 231500 232963 W 67.0 2011-02-03 1997-01-28 E3 ubiquitin ligase; forms heterodimer with Rad6p to monoubiquitinate PCNA-K164; heterodimer binds single-stranded DNA and has single-stranded DNA dependent ATPase activity; required for postreplication repair; SUMO-targeted ubiquitin ligase (STUbl) that contains a SUMO-interacting motif (SIM) which stimulates its ubiquitin ligase activity towards the sumoylated form of PCNA
1013152at2759	YKL187C	FAT3	 chromosome 11  11 91536 89284 C  2011-02-03 1996-07-31 Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication
1013351at2759	YJR099W	YUH1	ubiquitin-specific protease YUH1 chromosome 10 L000002565 10 615576 616286 W 57.0 2011-02-03 1996-07-31 Ubiquitin C-terminal hydrolase; cleaves ubiquitin-protein fusions to generate monomeric ubiquitin; hydrolyzes the peptide bond at the C-terminus of ubiquitin; also the major processing enzyme for the ubiquitin-like protein Rub1p
1013743at2759	YKL120W	OAC1	 chromosome 11 S000007413 11 217344 218318 W  2011-02-03 1996-07-31 Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
1014314at2759	YNL253W	TEX1	 chromosome 14  14 170018 171286 W  2011-02-03 1996-07-31 Protein involved in mRNA export; component of the transcription export (TREX) complex
1014342at2759	YML066C	SMA2	 chromosome 13  13 141533 140424 C  1996-07-31 1996-07-31 Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation
1014523at2759	YER061C	CEM1	fatty acid synthase CEM1 chromosome 5 L000000292 5 279626 278298 C  2011-02-03 1996-07-31|2011-02-03 Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration; human homolog OXSM can complement yeast cem1 null mutant
1014670at2759	YDR240C	SNU56	MUD10 chromosome 4 L000004362 4 945152 943674 C  2011-02-03 1996-07-31 Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart; interacts with mRNA in commitment complex
1014888at2759	YPL194W	DDC1	 chromosome 16 L000004256 16 179277 181115 W  2011-02-03 1996-07-31 DNA damage checkpoint protein; part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate; forms nuclear foci upon DNA replication stress
1014909at2759	YDL106C	PHO2	phoB|GRF10|BAS2 chromosome 4 L000000728 4 271901 270222 C -58.01 2004-02-11 1996-07-31 Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
1015026at2759	YLR131C	ACE2	DNA-binding transcription factor ACE2 chromosome 12 L000000020 12 406822 404510 C  2011-02-03 1996-07-31 Transcription factor required for septum destruction after cytokinesis; phosphorylation by Cbk1p blocks nuclear exit during M/G1 transition, causing localization to daughter cell nuclei, and also increases Ace2p activity; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of RAM network that regulates cellular polarity and morphogenesis; ACE2 has a paralog, SWI5, that arose from the whole genome duplication
1015148at2759	YJR100C	AIM25	SLM35 chromosome 10  10 617334 616351 C  2011-02-03 1996-07-31 Mitochondria protein of unknown function; interacts genetically with TOR1 to regulate chronological lifespan, and the response to both heat shock and oxidative stress; involved in maintaining the integrity of the mitochondrial network; negative regulator of mitophagy flux; non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant is viable and displays an elevated frequency of mitochondrial genome loss; similar to murine NOR1
1016088at2759	YKL080W	VMA5	H(+)-transporting V1 sector ATPase subunit C|VAT3|CSL5 chromosome 11 L000002460 11 285030 286208 W  2011-02-03 1996-07-31 Subunit C of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane; the V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase) has eight subunits
1016307at2759	YLR401C	DUS3	tRNA dihydrouridine synthase DUS3 chromosome 12  12 924448 922442 C  2006-01-09 1996-07-31|2006-01-09 Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region; forms nuclear foci upon DNA replication stress
1016546at2759	YGR155W	CYS4	cystathionine beta-synthase CYS4|VMA41|STR4|NHS5 chromosome 7 L000001248|L0000 7 798543 800066 W 87.14 2011-02-03 1996-07-31 Cystathionine beta-synthase; catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; responsible for hydrogen sulfide generation; advances passage through START by promoting cell growth which requires catalytic activity, and reducing critical cell size independent of catalytic activity; mutations in human ortholog CBS cause homocystinuria; human CBS can complement yeast null mutant
1016647at2759	YBL015W	ACH1	acetyl-CoA hydrolase chromosome 2 L000000021 2 194122 195702 W  2011-02-03 1997-01-28 Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
1016712at2759	YNL299W	TRF5	non-canonical poly(A) polymerase TRF5 chromosome 14 L000003385 14 66517 68445 W  2005-11-07 1996-07-31|2005-11-03 Non-canonical poly(A) polymerase; involved in nuclear RNA degradation as a component of the TRAMP complex; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; overlapping but non-redundant functions with Pap2p
1016782at2759	YKL040C	NFU1	NUB1 chromosome 11 L000004771 11 361828 361058 C  2011-02-03 1996-07-31 Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress; acts along with Bol3 at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to client proteins; Fe-S loaded homodimer at steady state; similar to NifU, a bacterial protein required for Fe/S cluster maturation; ortholog of the human NFU1, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS1)
1016945at2759	YML023C	NSE5	Smc5-Smc6 complex subunit NSE5 chromosome 13  13 228664 226994 C  1996-07-31 1996-07-31 Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair
1017439at2759	YOR370C	MRS6	GTPase-activating protein MRS6|MSI4 chromosome 15 L000001182|L0000 15 1030994 1029183 C  2011-02-03 1996-07-31 Rab escort protein; forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p); sequence similarity to mammalian choroideraemia gene; relative distribution to the nucleus increases upon DNA replication stress
1017537at2759	YHR119W	SET1	histone methyltransferase SET1|KMT2|YTX1 chromosome 8 L000003286 8 346043 349285 W  2011-02-03 1996-07-31 Histone methyltransferase, subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3K4; Set1p-dependent H3K4 trimethylation recruits Nrd1p, allowing efficient termination of snoRNAs and cryptic unstable transcripts (CUTs) by Nrd1p-Nab3p-Sen1p pathway; modulates histone acetylation levels in promoter proximal regions to ensure efficient Nrd1p-dependent termination; required in transcriptional silencing near telomeres and at silent mating type loci; has a SET domain
1017611at2759	YCL045C	EMC1	 chromosome 3  3 46905 44623 C  2000-09-13 1997-01-28 Member of conserved endoplasmic reticulum membrane complex; involved in efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; interacts with Gal80p; homologous to worm H17B01.4/EMC-1, fly CG2943, and human KIAA0090
1017910at2759	YJL204C	RCY1	 chromosome 10  10 53151 50629 C  1996-07-31 1996-07-31 F-box protein involved in recycling endocytosed proteins; involved in recycling plasma membrane proteins internalized by endocytosis; localized to sites of polarized growth; direct interaction with C-terminal cytoplasmic region of Drs2p plays an important role for Drs2p function in endocytic recycling pathway
1018228at2759	YGL196W	DSD1	D-serine ammonia-lyase DSD1 chromosome 7  7 129883 131169 W  2011-02-03 2004-07-19|1996-07-31 D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate
1018517at2759	YLR172C	DPH5	diphthine synthase chromosome 12 L000000523 12 502162 501260 C  2011-02-03 1996-07-31 Methyltransferase required for synthesis of diphthamide; diphthamide is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); not essential for viability; GFP-Dph5p fusion protein localizes to the cytoplasm
1019156at2759	YLR070C	XYL2	D-xylulose reductase XYL2 chromosome 12  12 275211 274141 C  2011-02-03 1996-07-31 Xylitol dehydrogenase; converts xylitol to D-xylulose; expression induced by xylose, even though this pentose sugar is not well utilized by S. cerevisiae; null mutant has cell wall defect
1019762at2759	YPL243W	SRP68	signal recognition particle subunit SRP68 chromosome 16 L000002065 16 88517 90316 W  1996-07-31 1996-07-31 Core component of the signal recognition particle (SRP) complex; SRP complex functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane; relocalizes from cytoplasm to the nuclear periphery upon DNA replication stress
1019846at2759	YLR095C	IOC2	 chromosome 12  12 332115 329677 C  2011-02-03 1996-07-31 Subunit of the Isw1b complex; exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing; contains a PHD finger motif; other complex members are Isw1p and Ioc4p
1019877at2759	YHR079C	IRE1	bifunctional endoribonuclease/protein kinase IRE1|ERN1 chromosome 8 L000000875 8 261591 258244 C  2011-02-03 1996-07-31 Serine-threonine kinase and endoribonuclease; transmembrane protein that mediates the unfolded protein response (UPR) by regulating Hac1p synthesis through HAC1 mRNA splicing; role in homeostatic adaptation to ER stress; Kar2p binds inactive Ire1p and releases from it upon ER stress
1022017at2759	YCR011C	ADP1	putative ATP-dependent permease ADP1 chromosome 3 L000000049 3 136873 133724 C 1.0 2011-02-03 2000-09-13|1997-01-28 Putative ATP-dependent permease of the ABC transporter family
1022730at2759	YPL272C	PBI1	 chromosome 16  16 28164 26611 C  1996-07-31 1996-07-31 Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene
1022919at2759	YPL262W	FUM1	fumarase FUM1 chromosome 16 L000000632 16 47336 48802 W  1996-07-31 1996-07-31 Fumarase; converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria
1022953at2759	YOL076W	MDM20	NAA25|DEC1 chromosome 15 L000002975 15 187024 189414 W  2006-01-05 1996-07-31 Non-catalytic subunit of the NatB N-terminal acetyltransferase; NatB catalyzes N-acetylation of proteins with specific N-terminal sequences; involved in mitochondrial inheritance and actin assembly
1022991at2759	YKL005C	BYE1	 chromosome 11  11 434877 433093 C  2011-02-03 1996-07-31 Negative regulator of transcription elongation; contains a TFIIS-like domain that associates with chromatin and a PHD domain that interacts with H3K4me3; multicopy suppressor of temperature-sensitive ess1 mutations, binds RNA polymerase II large subunit
1024049at2759	YLR189C	ATG26	UGT51 chromosome 12 L000004808 12 534393 530797 C  2011-02-03 1996-07-31 UDP-glucose:sterol glucosyltransferase; conserved enzyme involved in synthesis of sterol glucoside membrane lipids; in contrast to ATG26 from P. pastoris, S. cerevisiae ATG26 is not involved in autophagy
1025403at2759	YIL055C		 chromosome 9  9 253925 252042 C  2011-02-03 1994-12-10 Putative protein of unknown function
1025421at2759	YLR195C	NMT1	glycylpeptide N-tetradecanoyltransferase NMT1|CDC72 chromosome 12 L000001259 12 543304 541937 C 142.0 2011-02-03 1996-07-31 N-myristoyl transferase; catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction
1025450at2759	YIR012W	SQT1	 chromosome 9 L000003431 9 378486 379781 W  2011-02-03 1994-12-10 Specific chaperone for ribosomal protein Rpl10p; binds nascent Rpl10p during translation; contains multiple WD repeats; interacts with Qsr1p in a two-hybrid assay; protein abundance increases in response to DNA replication stress
1025498at2759	YPL146C	NOP53	RRP16 chromosome 16  16 277529 276162 C  2011-02-03 1996-07-31 Nucleolar protein; involved in biogenesis of the 60S subunit of the ribosome; interacts with rRNA processing factors Cbf5p and Nop2p and with the nucleolar proteins Nop17p and Nip7p; null mutant is viable but growth is severely impaired
1025500at2759	YDL216C	RRI1	COP9 signalosome catalytic subunit RRI1|JAB1|CSN5 chromosome 4 S000007574 4 70319 68997 C  2011-02-03 1996-07-31|2006-04-13 Catalytic subunit of the COP9 signalosome (CSN) complex; acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; metalloendopeptidase involved in the adaptation to pheromone signaling; involved in modulation of genes controlling amino acid and lipid metabolism, and ergosterol biosynthesis
102580at2759	YLR422W	DCK1	 chromosome 12  12 965897 971695 W  2011-02-03 1996-07-31 Dock family protein (Dedicator Of CytoKinesis), homolog of human DOCK1; upstream component for regulation through the small GTPase Rho5p; may form a complex with Lmo1p that acts as a GEF for Rho5p; interacts with Ino4p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein; DOCK proteins act as guanine nucleotide exchange factors
1026409at2759	YDR176W	NGG1	histone acetyltransferase NGG1|SWI7|ADA3 chromosome 4 L000001241 4 814452 816560 W  2011-02-03 1996-07-31 Subunit of chromatin modifying histone acetyltransferase complexes; member of the ADA complex, the SAGA complex, and the SLIK complex; transcriptional regulator involved in glucose repression of Gal4p-regulated genes
1026413at2759	YOL117W	RRI2	CSN10 chromosome 15 S000007579 15 97551 99488 W  2006-01-05 1996-07-31 Subunit of the COP9 signalosome (CSN) complex; this complex cleaves the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; plays a role in the mating pheromone response
