orf_name	Conservation	Essential	Publication count	Abundance
YJL198W	11	0	29	34.4
YJL197W	11	0	29	72.4
YJL197C-A	0	0	0	0.0
YJL196C	10	0	24	69.8
YJL194W	13	1	103	1.98
YJL195C	2	1	0	0.0
YJL193W	10	0	13	1.42
YJL192C	11	0	25	122.0
YJL191W	26	0	49	588.0
YJL190C	28	0	52	736.0
YJL189W	2	0	39	1166.0
YJL188C	0	0	0	0.0
YJL187C	11	0	138	13.3
YJL186W	11	0	19	116.0
YJL185C	4	0	17	1.35
YJL184W	10	0	31	18.3
YJL183W	14	0	48	56.7
YJL181W	6	0	14	2.31
YJL182C	2	0	0	1.52
YJL180C	29	0	27	62.1
YJL179W	11	0	30	32.6
YJL178C	10	0	31	129.0
YJL177W	23	0	65	786.0
YJL175W	0	0	0	2.71
YJL176C	10	0	84	44.4
YJL174W	10	1	18	12.1
YJL173C	11	1	51	90.7
YJL172W	22	0	29	108.0
YJL171C	10	0	20	59.1
YJL170C	7	0	17	1.6
YJL169W	3	0	0	36.6
YJL168C	13	0	118	20.8
YJL167W	27	1	28	343.0
YJL166W	12	0	36	81.3
YJL165C	11	0	52	7.13
YJL164C	24	0	111	47.8
YJL163C	10	0	11	1.58
YJL162C	10	0	12	1.96
YJL161W	4	0	18	7.87
YJL160C	9	0	12	1.64
YJL159W	11	0	41	108.0
YJL158C	9	0	26	102.0
YJL157C	9	0	70	4.46
YJL156W-A	4	0	0	1.46
YJL156C	11	1	23	0.431
YJL155C	25	0	23	25.5
YJL154C	28	0	73	44.7
YJL153C	25	0	49	108.0
YJL152W	8	0	0	1.35
YJL151C	8	0	44	148.0
YJL150W	4	0	0	1.15
YJL149W	11	0	27	6.59
YJL148W	11	0	71	134.0
YJL147C	6	0	13	10.0
YJL146W	11	0	15	24.8
YJL145W	13	0	20	156.0
YJL144W	4	0	15	6.26
YJL143W	26	1	76	52.4
YJL142C	2	0	0	1.33
YJL141C	11	0	47	7.73
YJL140W	11	0	125	109.0
YJL139C	11	0	25	44.5
YJL138C	24	0	67	788.0
YJL137C	9	0	24	9.19
YJL136W-A	2	0	3	0.0
YJL136C	29	0	53	1137.0
YJL135W	3	0	0	1.36
YJL134W	15	0	39	3.42
YJL133C-A	6	0	6	0.972
YJL133W	28	0	36	11.0
YJL132W	10	0	14	5.86
YJL131C	10	0	17	39.8
YJL130C	27	0	66	868.0
YJL129C	10	0	69	1.55
YJL128C	12	0	96	46.7
YJL127W-A	4	0	0	1.54
YJL127C-B	8	0	6	0.171
YJL127C	11	0	46	12.6
YJL126W	24	0	14	2.83
YJL125C	27	1	25	76.1
YJL124C	27	0	118	94.0
YJL123C	11	0	37	92.3
YJL122W	11	0	47	76.1
YJL120W	2	0	0	1.26
YJL121C	29	0	26	199.0
YJL118W	4	0	10	3.8
YJL119C	4	0	0	1.5
YJL117W	11	0	40	63.1
YJL116C	12	0	12	1.95
YJL115W	24	0	195	65.0
YJL112W	14	0	50	39.9
YJL111W	28	1	46	259.0
YJL110C	10	0	44	5.08
YJL109C	14	1	58	367.0
YJL108C	14	0	13	0.225
YJL107C	10	0	14	12.1
YJL106W	10	0	58	1.92
YJL105W	10	0	15	1.53
YJL104W	13	1	53	109.0
YJL103C	11	0	15	2.72
YJL102W	27	0	21	19.2
YJL101C	27	0	57	68.1
YJL100W	24	0	17	1.8
YJL099W	11	0	50	11.8
YJL098W	10	0	46	97.0
YJL097W	24	1	23	59.6
YJL096W	11	0	26	27.2
YJL095W	11	0	126	3.32
YJL094C	10	0	29	3.15
YJL093C	12	0	25	1.62
YJL092W	11	0	191	39.0
YJL091C	27	1	25	16.3
YJL090C	11	1	83	28.0
YJL089W	10	0	27	1.47
YJL088W	23	0	24	234.0
YJL087C	14	1	30	95.6
YJL085W	13	1	52	43.8
YJL086C	3	1	0	0.0
YJL084C	11	0	38	11.9
YJL083W	10	0	18	4.38
YJL082W	13	0	26	62.1
YJL081C	21	1	87	19.0
YJL080C	14	0	64	681.0
YJL079C	12	0	20	18.5
YJL078C	10	0	23	38.6
YJL077W-B	3	0	5	0.0
YJL077W-A	0	0	3	0.0
YJL077C	3	0	8	1.55
YJL076W	8	1	91	58.2
YJL075C	2	0	0	0.0
YJL074C	28	1	90	39.0
YJL073W	11	0	31	32.2
YJL072C	29	1	46	1.6
YJL071W	14	0	16	3.38
YJL070C	10	0	24	10.4
YJL069C	14	1	41	171.0
YJL068C	28	0	15	45.3
YJL067W	0	0	0	1.23
YJL066C	11	0	34	38.8
YJL064W	0	0	0	1.32
YJL065C	4	0	24	31.1
YJL063C	14	0	22	59.0
YJL062W-A	8	0	24	22.7
YJL062W	15	0	38	14.9
YJL061W	11	1	67	112.0
YJL060W	27	0	25	51.2
YJL059W	24	0	24	2.04
YJL058C	10	0	27	15.2
YJL057C	11	0	25	8.0
YJL056C	10	0	42	5.63
YJL055W	14	0	16	239.0
YJL054W	11	1	30	29.4
YJL053W	18	0	53	21.1
YJL052C-A	4	0	3	1.28
YJL052W	27	0	50	2250.0
YJL051W	10	0	18	2.11
YJL050W	27	1	84	148.0
YJL049W	14	0	14	23.1
YJL048C	7	0	16	12.3
YJL047C-A	4	0	5	0.0
YJL047C	6	0	61	2.75
YJL046W	11	0	23	1.91
YJL045W	10	0	20	35.3
YJL044C	11	0	27	30.2
YJL043W	6	0	8	0.515
YJL042W	11	0	32	35.3
YJL041W	12	1	101	167.0
YJL039C	13	1	37	71.1
YJL038C	4	0	8	1.35
YJL037W	4	0	9	1.43
YJL036W	24	0	49	21.7
YJL035C	11	1	17	7.8
YJL034W	29	1	123	2906.0
YJL033W	16	1	39	98.2
YJL032W	0	1	0	0.118
YJL031C	14	1	22	4.56
YJL030W	29	0	151	11.8
YJL029C	11	0	48	16.8
YJL028W	2	0	8	1.21
YJL027C	4	0	12	1.6
YJL026W	29	1	56	1220.0
YJL026C-A	0	0	0	0.749
YJL025W	11	1	24	6.68
YJL024C	22	0	27	27.0
YJL022W	0	0	0	0.009
YJL023C	11	0	25	6.38
YJL020W-A	0	0	0	0.0
YJL020C	10	0	56	83.3
YJL019W	11	1	56	48.9
YJL016W	11	0	13	32.4
YJL015C	3	1	0	1.61
YJL014W	29	1	41	200.0
YJL013C	10	0	55	23.3
YJL012C	14	0	41	210.0
YJL011C	11	1	33	40.7
YJL010C	26	1	31	65.4
YJL009W	4	1	0	0.0
YJL008C	29	1	52	149.0
YJL007C	7	0	0	1.55
YJL006C	11	0	52	21.4
YJL005W	11	1	79	21.4
YJL004C	11	0	50	5.54
YJL003W	12	0	13	6.93
YJL002C	15	1	48	182.0
YJL001W	24	1	60	138.0
YJR001W	15	0	19	16.1
YJR002W	12	1	62	33.6
YJR003C	10	0	16	46.7
YJR004C	7	0	16	0.259
YJR005W	14	0	27	26.3
YJR005C-A	7	0	4	0.178
YJR006W	14	1	46	9.02
YJR007W	29	1	85	442.0
YJR008W	29	0	16	7.99
YJR009C	27	0	71	4220.0
YJR010W	14	0	30	63.8
YJR010C-A	7	0	25	98.7
YJR011C	5	0	23	27.1
YJR013W	29	1	19	11.0
YJR012C	8	1	10	5.28
YJR014W	28	0	35	243.0
YJR015W	11	0	14	10.0
YJR016C	16	1	37	1944.0
YJR018W	2	0	0	1.48
YJR017C	28	1	51	90.6
YJR020W	1	0	0	1.4
YJR019C	10	0	28	4.87
YJR021C	6	0	32	1.89
YJR022W	0	1	42	16.3
YJR023C	1	1	0	0.0
YJR024C	26	0	15	13.5
YJR025C	22	0	27	139.0
YJR030C	10	0	10	0.0
YJR031C	10	0	31	30.0
YJR032W	11	0	59	44.1
YJR033C	14	0	43	9.74
YJR034W	11	0	23	18.8
YJR035W	14	0	69	1.96
YJR037W	2	0	0	1.44
YJR036C	14	0	16	1.46
YJR039W	10	0	14	1.65
YJR038C	3	0	0	1.52
YJR040W	26	0	41	3.92
YJR041C	11	1	28	35.9
YJR042W	11	1	63	91.1
YJR043C	10	0	143	20.4
YJR044C	14	0	26	26.8
YJR045C	29	1	137	543.0
YJR046W	11	1	38	19.9
YJR047C	22	0	25	110.0
YJR048W	22	0	72	129.0
YJR049C	12	0	25	48.6
YJR050W	14	0	51	16.1
YJR051W	15	0	19	13.6
YJR052W	14	0	52	6.84
YJR053W	10	0	83	9.99
YJR054W	9	0	19	5.57
YJR055W	11	0	25	21.7
YJR056C	9	0	23	16.8
YJR057W	27	1	23	25.9
YJR058C	29	0	21	11.3
YJR059W	10	0	47	53.1
YJR060W	10	0	86	193.0
YJR061W	10	0	10	1.98
YJR062C	11	0	20	20.8
YJR063W	12	0	50	232.0
YJR064W	29	1	41	196.0
YJR065C	26	1	68	95.6
YJR066W	10	0	198	11.8
YJR067C	11	1	12	17.6
YJR068W	28	1	64	95.1
YJR069C	11	0	20	104.0
YJR071W	4	0	0	2.22
YJR070C	29	0	37	580.0
YJR072C	28	1	31	153.0
YJR073C	24	0	69	80.8
YJR074W	10	0	41	29.9
YJR075W	14	0	48	74.8
YJR076C	14	1	96	107.0
YJR077C	12	0	54	283.0
YJR078W	19	0	15	10.6
YJR079W	3	0	7	7.47
YJR080C	11	0	17	39.0
YJR082C	6	0	35	6.1
YJR083C	5	0	23	20.4
YJR084W	11	0	29	23.3
YJR085C	11	0	10	23.2
YJR086W	11	0	34	61.2
YJR087W	2	0	0	108.0
YJR088C	11	0	27	109.0
YJR089W	7	1	43	2.05
YJR090C	25	0	89	8.6
YJR091C	11	0	38	19.9
YJR092W	9	0	42	16.2
YJR093C	11	1	51	18.9
YJR094C	6	0	41	1.54
YJR094W-A	29	0	69	639.0
YJR095W	15	0	24	15.6
YJR096W	11	0	26	136.0
YJR097W	11	0	22	21.1
YJR098C	10	0	12	15.4
YJR099W	27	0	23	7.03
YJR100C	13	0	27	1.81
YJR101W	11	0	22	40.8
YJR102C	11	0	44	1.62
YJR103W	24	0	21	72.1
YJR104C	29	0	115	4295.0
YJR105W	14	0	36	683.0
YJR106W	11	0	14	1.45
YJR107W	11	0	13	1.54
YJR108W	4	0	11	1.59
YJR109C	14	0	33	1314.0
YJR110W	24	0	23	13.6
YJR111C	13	0	18	39.5
YJR112W	11	1	45	26.7
YJR112W-A	10	0	5	0.0
YJR114W	1	0	0	1.55
YJR113C	11	0	30	38.5
YJR115W	6	0	8	2.04
YJR116W	14	0	14	4.29
YJR117W	28	0	50	220.0
YJR118C	10	0	51	12.4
YJR119C	11	0	35	6.92
YJR120W	4	0	14	1.61
YJR121W	29	0	73	1555.0
YJR122W	11	0	23	22.9
YJR123W	28	1	92	1752.0
YJR124C	12	0	14	0.065
YJR125C	11	0	34	30.0
YJR126C	11	0	19	719.0
YJR128W	3	0	0	1.72
YJR127C	10	0	24	4.53
YJR129C	10	0	14	12.2
YJR130C	14	0	19	42.1
YJR131W	14	0	29	67.7
YJR132W	27	0	30	109.0
YJR133W	14	0	21	12.4
YJR134C	11	0	25	14.4
YJR135C	6	0	58	9.17
YJR135W-A	11	0	20	43.8
YJR136C	11	0	16	12.3
YJR137C	16	0	23	131.0
YJR138W	11	0	32	5.31
YJR139C	16	0	45	890.0
YJR140W-A	0	0	0	0.0
YJR140C	11	0	57	11.7
YJR141W	11	1	14	6.51
YJR142W	19	0	16	23.8
YJR143C	26	0	28	36.3
YJR144W	13	0	54	59.9
YJR145C	27	0	108	1465.0
YJR146W	4	0	3	8.32
YJR147W	10	0	18	19.4
YJR148W	25	0	38	359.0
YJR149W	10	0	13	4.32
YJR150C	5	0	15	0.106
YJR151C	10	0	10	5.76
YJR151W-A	1	0	5	0.0
YJR152W	11	0	24	3.73
YJR153W	11	0	19	0.282
YJR154W	9	0	14	12.7
YJR155W	11	0	8	1.59
YJR156C	13	0	6	6.42
YJR157W	1	0	0	1.28
YJR158W	10	0	12	0.021
YJR159W	29	0	12	1.57
YJR160C	12	0	12	0.14
YJR161C	6	0	10	7.48
YJR162C	4	0	0	1.42
YKL225W	4	0	0	1.31
YKL224C	5	0	5	1.39
YKL223W	4	0	0	0.023
YKL222C	11	0	16	1.78
YKL221W	12	0	11	1.43
YKL220C	12	0	14	1.37
YKL219W	6	0	10	1.71
YKL218C	21	0	20	4.84
YKL217W	10	0	26	2.11
YKL216W	10	0	36	2335.0
YKL215C	26	0	20	64.0
YKL214C	10	0	32	25.3
YKL213C	27	0	80	131.0
YKL212W	28	0	99	508.0
YKL211C	13	0	29	334.0
YKL210W	25	1	53	1083.0
YKL209C	13	0	36	20.1
YKL208W	6	0	19	1.86
YKL207W	18	0	18	11.4
YKL206C	11	0	28	31.9
YKL205W	26	0	51	41.5
YKL204W	5	0	64	111.0
YKL203C	27	1	97	11.8
YKL202W	2	0	0	1.68
YKL201C	10	0	22	1.87
YKL198C	10	0	18	4.08
YKL197C	11	0	45	22.4
YKL196C	28	1	75	88.7
YKL195W	10	1	76	113.0
YKL194C	14	0	23	16.6
YKL193C	29	1	50	71.2
YKL192C	16	1	28	569.0
YKL191W	26	0	33	45.4
YKL190W	29	0	88	49.1
YKL189W	11	1	25	14.1
YKL188C	11	0	23	2.5
YKL187C	10	0	16	3.05
YKL186C	10	1	46	48.1
YKL185W	11	0	74	15.1
YKL184W	28	0	42	15.6
YKL183C-A	2	0	3	0.0
YKL183W	11	0	15	49.2
YKL182W	14	1	73	1923.0
YKL181W	13	0	40	237.0
YKL180W	23	1	75	909.0
YKL179C	14	0	23	46.2
YKL177W	1	0	0	1.49
YKL178C	11	0	25	0.051
YKL176C	11	0	38	3.25
YKL175W	10	0	18	0.815
YKL174C	12	0	12	2.68
YKL173W	28	1	71	15.8
YKL172W	10	1	85	49.8
YKL171W	11	0	22	2.38
YKL170W	16	0	25	37.2
YKL169C	0	0	0	0.611
YKL168C	10	0	27	9.03
YKL167C	11	0	27	30.3
YKL166C	14	0	75	23.1
YKL165C-A	4	0	0	1.71
YKL165C	29	1	27	14.6
YKL164C	11	0	27	33.8
YKL163W	9	0	17	1.84
YKL162C-A	7	0	0	1.45
YKL162C	11	0	9	9.52
YKL161C	10	0	23	4.34
YKL160W	24	0	46	70.4
YKL159C	10	0	23	5.7
YKL157W	29	0	36	181.0
YKL156W	26	0	40	707.0
YKL156C-A	0	0	0	0.239
YKL155C	11	0	27	30.1
YKL154W	11	1	23	107.0
YKL153W	1	1	0	1.42
YKL152C	21	1	68	7342.0
YKL151C	28	0	17	48.1
YKL150W	15	0	42	174.0
YKL149C	10	0	33	9.84
YKL148C	29	0	39	118.0
YKL146W	24	0	22	8.93
YKL147C	2	0	0	1.45
YKL145W	28	1	140	158.0
YKL145W-A	0	0	0	0.0
YKL144C	28	1	34	8.71
YKL143W	14	0	46	39.1
YKL142W	10	0	28	149.0
YKL141W	15	1	24	13.9
YKL140W	25	0	27	17.0
YKL139W	11	0	104	14.0
YKL138C-A	6	1	22	6.28
YKL138C	10	0	21	51.6
YKL137W	11	0	23	8.74
YKL136W	1	0	0	1.44
YKL135C	11	0	46	68.0
YKL134C	29	0	27	28.4
YKL133C	9	0	11	4.84
YKL131W	1	0	0	1.46
YKL132C	10	0	18	2.19
YKL130C	11	0	56	96.0
YKL129C	23	0	55	39.9
YKL128C	10	0	17	47.8
YKL127W	29	0	37	147.0
YKL126W	24	0	73	75.4
YKL125W	11	1	38	1.38
YKL124W	10	0	18	4.63
YKL123W	2	0	0	0.0
YKL122C	10	1	25	52.6
YKL121W	11	0	16	4.87
YKL120W	23	0	37	131.0
YKL118W	2	0	0	0.077
YKL119C	11	0	34	19.7
YKL117W	14	0	52	511.0
YKL116C	11	0	31	20.9
YKL115C	4	0	0	1.56
YKL114C	16	0	77	129.0
YKL113C	29	0	144	171.0
YKL112W	10	1	56	71.6
YKL111C	0	1	0	0.007
YKL110C	29	0	50	46.4
YKL109W	5	0	42	1.69
YKL108W	11	1	40	6.47
YKL107W	10	0	9	1.58
YKL106C-A	4	0	5	1.36
YKL106W	11	0	21	71.7
YKL105C	6	0	17	6.9
YKL104C	28	1	49	246.0
YKL103C	12	0	51	85.5
YKL102C	3	0	0	2.92
YKL101W	11	0	99	6.15
YKL100W-A	0	0	0	0.254
YKL100C	10	0	15	12.8
YKL099C	26	1	29	12.5
YKL098W	11	0	17	1.85
YKL097C	4	0	0	1.75
YKL096C-B	1	0	3	0.063
YKL096W-A	6	0	28	435.0
YKL096W	10	0	22	110.0
YKL095W	10	1	23	21.4
YKL094W	13	0	29	54.6
YKL093W	6	0	14	1.7
YKL092C	11	0	28	21.6
YKL091C	19	0	16	31.4
YKL090W	11	0	17	1.54
YKL089W	11	1	42	6.18
YKL088W	10	1	28	43.0
YKL087C	23	0	30	2.45
YKL086W	11	0	16	11.2
YKL085W	28	0	43	430.0
YKL084W	10	0	10	7.59
YKL083W	0	1	0	0.008
YKL082C	11	1	36	20.2
YKL081W	14	0	73	2602.0
YKL080W	27	0	61	307.0
YKL079W	11	0	46	31.7
YKL078W	14	1	27	10.2
YKL077W	11	0	13	107.0
YKL076C	3	0	0	1.67
YKL075C	11	0	19	10.3
YKL074C	11	0	60	35.5
YKL073W	11	0	44	42.8
YKL072W	11	0	15	3.76
YKL071W	16	0	13	521.0
YKL070W	10	0	10	1.49
YKL069W	13	0	28	48.1
YKL068W-A	6	0	9	0.229
YKL068W	10	0	80	69.6
YKL067W	25	0	27	178.0
YKL066W	2	0	0	1.46
YKL065W-A	4	0	5	0.543
YKL065C	11	0	27	169.0
YKL064W	11	0	27	10.9
YKL063C	6	0	15	46.0
YKL062W	10	0	104	3.12
YKL061W	6	0	20	20.7
YKL060C	14	1	62	20543.0
YKL059C	14	1	30	19.6
YKL058W	29	1	44	36.2
YKL057C	11	0	84	27.8
YKL056C	29	0	45	1310.0
YKL055C	11	0	18	17.7
YKL054C	10	0	59	468.0
YKL053C-A	11	0	36	34.2
YKL053W	1	0	0	1.65
YKL052C	11	1	51	39.0
YKL051W	11	0	21	37.1
YKL050C	10	0	15	8.6
YKL049C	14	1	88	14.5
YKL048C	10	0	94	9.29
YKL047W	10	0	14	41.7
YKL046C	14	0	17	44.7
YKL045W	28	1	36	5.11
YKL044W	4	0	5	1.46
YKL043W	9	0	32	12.3
YKL042W	11	1	47	8.97
YKL041W	26	0	61	35.4
YKL040C	28	0	23	179.0
YKL039W	13	0	15	7.32
YKL038W	10	0	47	3.84
YKL037W	4	0	20	1.29
YKL035W	19	1	52	474.0
YKL036C	3	1	0	1.59
YKL034W	11	0	21	1.56
YKL033W-A	15	0	13	615.0
YKL033W	14	1	19	7.19
YKL032C	10	0	48	40.1
YKL031W	4	0	0	0.0
YKL030W	1	0	0	1.28
YKL029C	16	0	42	198.0
YKL028W	14	1	43	259.0
YKL027W	16	0	21	67.8
YKL026C	10	0	17	3.41
YKL025C	23	0	42	28.1
YKL024C	29	1	18	82.2
YKL023C-A	4	0	3	0.105
YKL023W	4	0	29	22.1
YKL022C	27	1	65	39.8
YKL021C	27	1	31	60.0
YKL020C	10	0	50	4.07
YKL019W	28	1	23	6.84
YKL018C-A	6	0	6	10.4
YKL018W	29	1	39	17.6
YKL017C	25	0	15	10.2
YKL016C	13	0	48	168.0
YKL015W	11	0	31	7.25
YKL014C	12	1	40	76.5
YKL013C	27	1	36	93.6
YKL012W	21	1	50	5.05
YKL011C	10	0	16	1.88
YKL010C	14	0	51	77.9
YKL009W	29	0	87	466.0
YKL008C	14	0	44	41.3
YKL007W	22	0	48	82.2
YKL006C-A	11	1	25	8.79
YKL006W	13	0	67	1800.0
YKL005C	10	0	23	14.9
YKL004W	13	1	31	56.5
YKL003C	11	0	26	1.15
YKL002W	29	0	54	14.6
YKL001C	25	0	26	94.4
YKR001C	17	0	121	309.0
YKR002W	28	1	67	139.0
YKR003W	20	0	30	56.8
YKR004C	10	1	13	8.98
YKR005C	6	0	11	1.43
YKR006C	11	0	35	81.6
YKR007W	6	0	42	36.6
YKR008W	11	1	61	105.0
YKR009C	28	0	20	34.9
YKR010C	8	0	45	5.49
YKR011C	11	0	15	23.7
YKR013W	12	0	17	3.02
YKR012C	4	0	0	1.41
YKR014C	18	0	49	212.0
YKR015C	6	0	9	2.15
YKR016W	11	0	31	98.8
YKR017C	12	0	15	16.9
YKR018C	13	0	19	91.9
YKR019C	10	0	30	5.08
YKR020W	9	0	59	11.5
YKR021W	11	0	30	5.97
YKR022C	6	1	34	8.28
YKR023W	11	0	21	29.8
YKR024C	28	0	41	38.0
YKR025W	11	1	30	58.8
YKR026C	27	0	59	197.0
YKR027W	11	0	33	35.7
YKR028W	11	0	39	12.5
YKR029C	11	0	56	13.5
YKR030W	27	0	20	1.49
YKR031C	11	0	55	11.4
YKR032W	4	0	0	1.15
YKR034W	10	0	27	1.61
YKR033C	0	0	0	0.724
YKR035W-A	21	0	51	124.0
YKR035C	0	0	0	1.27
YKR036C	10	0	27	8.77
YKR037C	11	1	43	7.74
YKR038C	28	1	31	69.6
YKR039W	13	0	69	63.6
YKR041W	4	0	13	3.23
YKR040C	1	0	0	1.3
YKR042W	12	0	43	574.0
YKR043C	13	0	16	234.0
YKR044W	10	0	16	4.47
YKR045C	6	0	14	4.51
YKR046C	11	0	20	118.0
YKR047W	9	0	0	1.82
YKR048C	28	0	119	226.0
YKR049C	11	0	23	20.9
YKR050W	15	0	50	1.25
YKR051W	14	0	14	0.006
YKR052C	28	0	38	21.5
YKR053C	15	0	19	1.42
YKR054C	11	0	111	7.91
YKR055W	13	0	35	4.46
YKR056W	16	0	23	33.2
YKR057W	29	0	46	821.0
YKR058W	9	0	18	1.8
YKR059W	24	0	79	1163.0
YKR060W	11	0	30	52.4
YKR061W	11	0	17	1.25
YKR062W	14	1	39	22.8
YKR063C	11	1	21	7.04
YKR064W	10	0	19	3.14
YKR065C	13	0	39	52.8
YKR066C	14	0	50	129.0
YKR067W	10	0	37	53.4
YKR068C	28	1	54	33.5
YKR069W	14	0	16	10.2
YKR070W	26	0	18	33.9
YKR071C	11	1	30	149.0
YKR072C	10	0	64	63.9
YKR073C	4	0	0	0.0
YKR074W	11	0	18	38.6
YKR075W-A	0	0	0	0.0
YKR075C	6	0	15	19.5
YKR076W	14	0	19	17.6
YKR077W	5	0	20	548.0
YKR078W	8	0	13	11.8
YKR079C	13	1	28	65.7
YKR080W	14	0	17	221.0
YKR081C	29	1	68	382.0
YKR082W	11	0	103	61.7
YKR083C	11	1	39	15.7
YKR084C	27	0	33	48.2
YKR085C	11	0	28	18.6
YKR086W	29	1	40	16.2
YKR087C	21	0	20	2.26
YKR088C	12	0	22	97.7
YKR089C	13	0	27	11.7
YKR090W	10	0	23	21.7
YKR091W	9	0	20	1.56
YKR092C	10	0	49	170.0
YKR093W	26	0	31	23.3
YKR094C	26	0	60	673.0
YKR095W	11	0	78	72.8
YKR095W-A	10	0	14	10.7
YKR096W	10	0	29	3.59
YKR097W	15	0	37	173.0
YKR098C	10	0	15	1.4
YKR099W	10	0	53	8.9
YKR100C	11	0	16	13.3
YKR101W	5	0	77	1.81
YKR102W	10	0	13	0.469
YKR103W	10	0	23	2.11
YKR104W	10	0	13	15.5
YKR105C	12	0	15	1.23
