gene_name_1	orf_name_1	uniprot_ac_1	gene_name_2	orf_name_2	uniprot_ac_2	FILENAME	interface_area	IntraclashesGroup1	IntraclashesGroup2	Interaction Energy	StabilityGroup1	StabilityGroup2
RPS21A	YKR057W	P0C0V8	RPS2	YGL123W	P25443	P0C0V8-P25443-EXP-6fai.pdb1-V-0-C-0.pdb	1321.84667969	6.67112	29.8216	-15.6609	49.3008	91.8558
RPS22A	YJL190C	P0C0W1	RPS2	YGL123W	P25443	P0C0W1-P25443-EXP-6fai.pdb1-W-0-C-0.pdb	534.2727050780001	18.3927	31.2325	-8.67867	35.4904	89.1778
RPN13	YLR421C	O13563	RPN2	YIL075C	P32565	O13563-P32565-EXP-4cr4.pdb1-X-0-N-0.pdb	112.950195312	151.644	210.546	-0.0796236	267.853	545.697
RPN12	YFR052W	P32496	RPN2	YIL075C	P32565	P32496-P32565-EXP-5mpd.pdb1-T-0-N-0.pdb	499.47265625	12.1128	56.7367	-7.45235	159.485	379.875
RPL36B	YPL249C-A	O14455	RPL15A	YLR029C	P05748	O14455-P05748-EXP-6em3.pdb1-i-0-N-0.pdb	77.20263671880001	5.22831	59.341	-10.7934	35.1815	126.85
RPL36A	YMR194W	P05745	RPL15A	YLR029C	P05748	P05745-P05748-EXP-6em3.pdb1-i-0-N-0.pdb	77.20263671880001	5.22831	59.341	-10.7934	35.1815	126.85
MDM35	YKL053C-A	O60200	UPS1	YLR193C	Q05776	O60200-Q05776-EXP-4ytw.pdb1-A-0-B-0.pdb	1391.27050781	3.7658	13.1837	-45.1296	12.2862	13.2288
TIM9	YEL020W-A	O74700	TIM10	YHR005C-A	P87108	O74700-P87108-EXP-3dxr.pdb2-A-1-B-5.pdb	425.877441406	7.03581	4.84399	-7.68248	19.087	17.4789
SEM1	YDR363W-A	O94742	RPN3	YER021W	P40016	O94742-P40016-EXP-3jck.pdb1-I-0-A-0.pdb	1202.29272461	7.09425	66.0978	-21.9945	45.4731	161.547
RPN12	YFR052W	P32496	RPN3	YER021W	P40016	P32496-P40016-EXP-3jck.pdb1-H-0-A-0.pdb	1644.78613281	50.4208	62.9292	-25.2051	149.16	161.728
RPN2	YIL075C	P32565	RPN3	YER021W	P40016	P32565-P40016-EXP-5mpd.pdb1-N-0-S-0.pdb	707.952148438	67.0463	34.1573	-6.1422	374.506	249.276
SEM1	YDR363W-A	O94742	SAC3	YDR159W	P46674	O94742-P46674-EXP-3t5v.pdb1-C-0-A-0.pdb	322.292236328	3.60734	27.4518	-3.45086	31.2602	-40.4885
CDC31	YOR257W	P06704	SAC3	YDR159W	P46674	P06704-P46674-EXP-3fwb.pdb1-A-0-B-0.pdb	1426.75415039	10.3423	1.49179	-39.655	25.257	-3.97813
NUP1	YOR098C	P20676	SAC3	YDR159W	P46674	P20676-P46674-EXP-4mbe.pdb2-H-0-E-0.pdb	362.565979004	0.152835	0.98075	-11.1163	8.17702	-6.63759
SEM1	YDR363W-A	O94742	RPN7	YPR108W	Q06103	O94742-Q06103-EXP-3jck.pdb1-I-0-D-0.pdb	806.4440917969999	5.99105	73.2781	-21.3798	46.3457	127.146
RPN3	YER021W	P40016	RPN7	YPR108W	Q06103	P40016-Q06103-EXP-3jck.pdb1-A-0-D-0.pdb	1105.51367188	60.4423	78.2304	-21.2572	156.212	136.139
RPT6	YGL048C	Q01939	RPN7	YPR108W	Q06103	Q01939-Q06103-EXP-4cr2.pdb1-J-0-R-0.pdb	895.553710938	41.539	60.374	-7.23936	227.983	245.775
SEM1	YDR363W-A	O94742	THP1	YOL072W	Q08231	O94742-Q08231-EXP-5ubp.pdb1-C-0-B-0.pdb	2401.08422852	1.31757	31.3808	-54.6543	33.3806	-114.002
SAC3	YDR159W	P46674	THP1	YOL072W	Q08231	P46674-Q08231-EXP-5ubp.pdb1-A-0-B-0.pdb	4051.12304688	26.2528	27.7214	-106.537	-46.5896	-116.058
CYC1	YJR048W	P00044	CCP1	YKR066C	P00431	P00044-P00431-EXP-2bcn.pdb1-B-0-A-0.pdb	576.46875	9.26224	15.8047	-9.1842	76.9982	-20.7501
CYC1	YJR048W	P00044	CYT1	YOR065W	P07143	P00044-P07143-EXP-3cx5.pdb1-W-0-O-0.pdb	471.835449219	5.0622	11.851	-4.64143	16.3427	8.75296
CYC7	YEL039C	P00045	CYT1	YOR065W	P07143	P00045-P07143-EXP-3cxh.pdb1-W-0-O-0.pdb	530.6159667969999	8.79694	12.8994	-7.86933	34.6437	25.5972
QCR6	YFR033C	P00127	CYT1	YOR065W	P07143	P00127-P07143-EXP-3cx5.pdb1-F-0-D-0.pdb	1124.76196289	4.13619	12.8859	-31.0958	1.95755	15.4907
QCR7	YDR529C	P00128	CYT1	YOR065W	P07143	P00128-P07143-EXP-3cx5.pdb1-R-0-O-0.pdb	416.728515625	4.40883	12.706	-8.81287	-6.29779	9.65591
COB	Q0105	P00163	CYT1	YOR065W	P07143	P00163-P07143-EXP-3cx5.pdb1-N-0-O-0.pdb	1583.32519531	18.863	12.2701	-43.3994	-27.471	15.765
QCR6	YFR033C	P00127	QCR8	YJL166W	P08525	P00127-P08525-EXP-3cx5.pdb1-F-0-H-0.pdb	168.887451172	4.17871	4.63214	-2.23137	-0.515242	50.4502
QCR7	YDR529C	P00128	QCR8	YJL166W	P08525	P00128-P08525-EXP-3cx5.pdb1-G-0-H-0.pdb	515.591796875	3.59771	4.52709	-5.20762	-4.99342	52.1006
COB	Q0105	P00163	QCR8	YJL166W	P08525	P00163-P08525-EXP-3cx5.pdb1-N-0-H-0.pdb	150.811035156	19.567	4.40286	0.156274	-33.6999	50.9816
CYT1	YOR065W	P07143	QCR8	YJL166W	P08525	P07143-P08525-EXP-3cx5.pdb1-D-0-H-0.pdb	730.1303710939999	12.6322	5.17069	-13.0866	16.2222	54.4174
COR1	YBL045C	P07256	QCR8	YJL166W	P08525	P07256-P08525-EXP-3cx5.pdb1-L-0-S-0.pdb	856.6596679689999	31.707	6.10477	-13.8898	31.2608	60.4356
RIP1	YEL024W	P08067	QCR8	YJL166W	P08525	P08067-P08525-EXP-3cx5.pdb1-E-0-H-0.pdb	533.291503906	10.8251	4.37416	-8.37871	40.3949	52.2308
QCR7	YDR529C	P00128	COB	Q0105	P00163	P00128-P00163-EXP-3cx5.pdb1-R-0-N-0.pdb	1813.19921875	4.77797	18.8965	-49.4847	-4.13022	-29.6065
QCR7	YDR529C	P00128	COR1	YBL045C	P07256	P00128-P07256-EXP-3cx5.pdb1-R-0-A-0.pdb	211.760742188	4.38873	30.7517	-2.0729	-7.67254	42.6642
COB	Q0105	P00163	COR1	YBL045C	P07256	P00163-P07256-EXP-3cx5.pdb1-C-0-A-0.pdb	453.641601562	19.4937	30.8184	-7.10261	-33.7239	47.0147
COX5A	YNL052W	P00424	COR1	YBL045C	P07256	P00424-P07256-EXP-6giq.pdb1-e-0-A-0.pdb	575.027832031	5.81946	32.4501	-6.73477	78.2439	88.9061
CYT1	YOR065W	P07143	COR1	YBL045C	P07256	P07143-P07256-EXP-3cx5.pdb1-O-0-L-0.pdb	146.4453125	12.9151	31.5748	-0.854898	7.98891	26.5282
QCR7	YDR529C	P00128	QCR2	YPR191W	P07257	P00128-P07257-EXP-3cx5.pdb1-G-0-M-0.pdb	370.407714844	3.85609	26.7691	-9.56263	-4.61386	3.62418
COR1	YBL045C	P07256	QCR2	YPR191W	P07257	P07256-P07257-EXP-3cx5.pdb1-L-0-M-0.pdb	1517.31542969	30.3366	23.9434	-29.3613	32.5868	6.4056
QCR7	YDR529C	P00128	QCR10	YHR001W-A	P37299	P00128-P37299-EXP-6giq.pdb1-R-0-V-0.pdb	292.739501953	7.89626	3.10506	-0.36286	23.0913	23.2648
COB	Q0105	P00163	QCR10	YHR001W-A	P37299	P00163-P37299-EXP-6giq.pdb1-N-0-V-0.pdb	141.776611328	19.0449	1.80352	-1.75791	-8.8318	21.3717
CYT1	YOR065W	P07143	QCR10	YHR001W-A	P37299	P07143-P37299-EXP-6hu9.pdb1-D-0-J-0.pdb	200.560791016	14.8755	3.80179	-3.5332	51.6138	36.964
COR1	YBL045C	P07256	QCR10	YHR001W-A	P37299	P07256-P37299-EXP-6giq.pdb1-A-0-V-0.pdb	279.928955078	30.7117	2.87012	-2.62135	82.666	23.1965
QCR2	YPR191W	P07257	QCR10	YHR001W-A	P37299	P07257-P37299-EXP-6hu9.pdb1-M-0-U-0.pdb	364.291748047	28.8387	3.1834	-5.89031	43.9756	37.5741
RIP1	YEL024W	P08067	QCR10	YHR001W-A	P37299	P08067-P37299-EXP-6giq.pdb1-E-0-V-0.pdb	190.349365234	5.81957	2.64507	-4.73864	82.991	24.7607
QCR9	YGR183C	P22289	QCR10	YHR001W-A	P37299	P22289-P37299-EXP-6giq.pdb1-I-0-V-0.pdb	503.0654296880001	3.3424	2.83007	-11.2311	19.9929	22.3261
COB	Q0105	P00163	RIP1	YEL024W	P08067	P00163-P08067-EXP-3cx5.pdb1-C-0-E-0.pdb	559.262695312	17.8148	10.6401	-11.4085	-33.7142	38.7281
CYT1	YOR065W	P07143	RIP1	YEL024W	P08067	P07143-P08067-EXP-3cx5.pdb1-O-0-P-0.pdb	705.600585938	12.8781	14.7234	-16.5306	13.6876	51.8783
COR1	YBL045C	P07256	RIP1	YEL024W	P08067	P07256-P08067-EXP-3cx5.pdb1-A-0-E-0.pdb	573.930664062	31.6429	10.5781	-7.74446	48.8311	37.3918
COX1	Q0045	P00401	COX2	Q0250	P00410	P00401-P00410-EXP-6giq.pdb1-a-0-b-0.pdb	3521.671875	44.7505	19.7677	-48.4136	131.901	163.933
COX1	Q0045	P00401	COX3	Q0275	P00420	P00401-P00420-EXP-6giq.pdb1-a-0-c-0.pdb	1961.36035156	47.5127	15.6397	-33.3432	124.295	92.5549
COX1	Q0045	P00401	COX5A	YNL052W	P00424	P00401-P00424-EXP-6giq.pdb1-a-0-e-0.pdb	1252.02392578	44.8541	5.60021	-21.9558	119.225	81.8896
COX2	Q0250	P00410	COX5A	YNL052W	P00424	P00410-P00424-EXP-6giq.pdb1-b-0-e-0.pdb	104.862792969	20.8568	5.48157	0.571692	146.976	75.7321
COX1	Q0045	P00401	COX6	YHR051W	P00427	P00401-P00427-EXP-6giq.pdb1-a-0-f-0.pdb	305.909667969	44.6732	11.356	-0.606175	119.127	25.8496
COX2	Q0250	P00410	COX6	YHR051W	P00427	P00410-P00427-EXP-6giq.pdb1-b-0-f-0.pdb	314.001464844	22.1535	10.8105	-2.73424	148.098	29.0822
COX5A	YNL052W	P00424	COX6	YHR051W	P00427	P00424-P00427-EXP-6giq.pdb1-e-0-f-0.pdb	662.290039062	7.09563	9.95346	-7.96447	77.247	30.6529
COX1	Q0045	P00401	COX4	YGL187C	P04037	P00401-P04037-EXP-6giq.pdb1-a-0-d-0.pdb	288.982666016	44.9482	3.46122	3.26447	120.168	40.8228
COX2	Q0250	P00410	COX4	YGL187C	P04037	P00410-P04037-EXP-6hu9.pdb1-b-0-d-0.pdb	101.159667969	20.258	11.0521	0.192049	74.5341	81.3059
COX3	Q0275	P00420	COX4	YGL187C	P04037	P00420-P04037-EXP-6giq.pdb1-c-0-d-0.pdb	456.61840820300006	17.256	3.10064	-0.848324	81.4303	42.5699
COX6	YHR051W	P00427	COX4	YGL187C	P04037	P00427-P04037-EXP-6hu9.pdb1-f-0-d-0.pdb	366.05981445300006	8.91479	12.6813	-5.70952	-8.71484	84.2758
COX1	Q0045	P00401	COX8	YLR395C	P04039	P00401-P04039-EXP-6giq.pdb1-a-0-h-0.pdb	984.628295898	48.428	1.41527	-24.9059	121.894	20.0185
COX1	Q0045	P00401	COX9	YDL067C	P07255	P00401-P07255-EXP-6giq.pdb1-a-0-i-0.pdb	84.1423339844	43.428	5.52754	-0.827519	118.542	5.06696
COX2	Q0250	P00410	COX9	YDL067C	P07255	P00410-P07255-EXP-6giq.pdb1-b-0-i-0.pdb	1021.86889648	21.5955	5.87894	-20.4759	153.434	9.42563
COX5A	YNL052W	P00424	COX9	YDL067C	P07255	P00424-P07255-EXP-6hu9.pdb1-q-0-u-0.pdb	182.486572266	9.4357	2.06425	-5.33899	49.525	2.05592
COX6	YHR051W	P00427	COX9	YDL067C	P07255	P00427-P07255-EXP-6giq.pdb1-f-0-i-0.pdb	107.401123047	11.4162	5.22215	-1.08247	27.6029	4.0591
COX1	Q0045	P00401	COX7	YMR256C	P10174	P00401-P10174-EXP-6giq.pdb1-a-0-g-0.pdb	148.149902344	44.4957	1.17315	-2.50997	117.839	13.9753
COX3	Q0275	P00420	COX7	YMR256C	P10174	P00420-P10174-EXP-6giq.pdb1-c-0-g-0.pdb	603.376464844	16.9233	0.521201	-18.0615	86.188	14.5569
COX4	YGL187C	P04037	COX7	YMR256C	P10174	P04037-P10174-EXP-6hu9.pdb1-p-0-s-0.pdb	278.80859375	9.20836	4.4596	-2.79014	80.8457	20.7569
COX1	Q0045	P00401	COX13	YGL191W	P32799	P00401-P32799-EXP-6hu9.pdb1-m-0-w-0.pdb	420.142089844	64.4695	2.83919	-2.56012	-9.60839	46.4688
COX3	Q0275	P00420	COX13	YGL191W	P32799	P00420-P32799-EXP-6giq.pdb1-c-0-k-0.pdb	268.683959961	17.5648	7.89072	4.27913	84.6896	18.5583
COX4	YGL187C	P04037	COX13	YGL191W	P32799	P04037-P32799-EXP-6hu9.pdb1-p-0-w-0.pdb	524.041992188	8.19109	3.34749	-9.34665	81.9484	48.9052
COX1	Q0045	P00401	COX12	YLR038C	Q01519	P00401-Q01519-EXP-6hu9.pdb1-a-0-j-0.pdb	141.199462891	75.9214	6.34644	-0.0239524	3.91886	24.4913
COX2	Q0250	P00410	COX12	YLR038C	Q01519	P00410-Q01519-EXP-6giq.pdb1-b-0-j-0.pdb	537.4489746090001	19.5493	3.79627	-5.30361	147.697	37.9913
COX3	Q0275	P00420	COX12	YLR038C	Q01519	P00420-Q01519-EXP-6giq.pdb1-c-0-j-0.pdb	213.912841797	17.1066	3.35095	-1.08252	84.0506	34.8622
COX13	YGL191W	P32799	COX12	YLR038C	Q01519	P32799-Q01519-EXP-6hu9.pdb1-k-0-j-0.pdb	195.388916016	3.88561	6.29457	-1.67919	44.0222	20.3155
COX1	Q0045	P00401	COX26	YDR119W-A	Q2V2P9	P00401-Q2V2P9-EXP-6hu9.pdb1-a-0-l-0.pdb	291.816162109	75.724	1.62483	-9.86883	2.57999	23.3454
COX2	Q0250	P00410	COX26	YDR119W-A	Q2V2P9	P00410-Q2V2P9-EXP-6hu9.pdb1-b-0-l-0.pdb	468.397216797	22.3689	1.60636	-11.2111	75.144	25.7694
COX5A	YNL052W	P00424	COX26	YDR119W-A	Q2V2P9	P00424-Q2V2P9-EXP-6hu9.pdb1-e-0-l-0.pdb	146.715576172	9.94923	1.72823	-1.47998	54.487	22.3165
COX6	YHR051W	P00427	COX26	YDR119W-A	Q2V2P9	P00427-Q2V2P9-EXP-6hu9.pdb1-r-0-x-0.pdb	186.7578125	7.25958	2.82292	-3.16125	6.97692	25.6018
COX9	YDL067C	P07255	COX26	YDR119W-A	Q2V2P9	P07255-Q2V2P9-EXP-6hu9.pdb1-u-0-x-0.pdb	400.591796875	1.71809	1.66667	-10.3218	4.03415	28.6634
SOD1	YJR104C	P00445	CCS1	YMR038C	P40202	P00445-P40202-EXP-1jk9.pdb3-C-0-B-0.pdb	508.16528320300006	25.4137	29.0795	2.2164	64.6636	78.3844
PRC1	YMR297W	P00729	TFS1	YLR178C	P14306	P00729-P14306-EXP-1wpx.pdb1-A-0-B-0.pdb	1626.72558594	50.6344	31.2773	-37.2865	16.495	32.0776
ATP2	YJR121W	P00830	INH1	YDL181W	P01097	P00830-P01097-EXP-3zia.pdb1-N-0-T-0.pdb	969.30871582	31.9269	2.06626	-20.8989	30.176	17.7711
ATP2	YJR121W	P00830	ATP1	YBL099W	P07251	P00830-P07251-EXP-3zia.pdb1-N-0-K-0.pdb	2266.80371094	32.0951	30.5629	-35.2363	34.0804	40.6565
INH1	YDL181W	P01097	ATP1	YBL099W	P07251	P01097-P07251-EXP-3zia.pdb1-T-0-M-0.pdb	432.852661133	2.24331	32.9124	-8.99689	14.4009	18.9941
ATP4	YPL078C	P05626	ATP1	YBL099W	P07251	P05626-P07251-EXP-6cp6.pdb1-Z-0-B-0.pdb	236.286132812	9.9651	49.8626	0.39814	37.0222	139.149
ATP2	YJR121W	P00830	ATP5	YDR298C	P09457	P00830-P09457-EXP-6cp6.pdb1-D-0-Y-0.pdb	132.633789062	45.1634	14.2623	-1.15945	122.677	134.896
ATP4	YPL078C	P05626	ATP5	YDR298C	P09457	P05626-P09457-EXP-6cp6.pdb1-Z-0-Y-0.pdb	617.053710938	9.68898	14.5834	-4.78869	39.6666	138.265
ATP1	YBL099W	P07251	ATP5	YDR298C	P09457	P07251-P09457-EXP-6cp6.pdb1-A-0-Y-0.pdb	659.864257812	62.1341	14.081	-12.7832	127.165	137.012
ATP2	YJR121W	P00830	ATP3	YBR039W	P38077	P00830-P38077-EXP-3zia.pdb2-D-0-G-0.pdb	513.426757812	33.0184	15.6202	-14.2766	36.7132	12.1852
INH1	YDL181W	P01097	ATP3	YBR039W	P38077	P01097-P38077-EXP-3zia.pdb1-T-0-Q-0.pdb	330.18371582	1.65617	16.2641	-2.13891	12.9427	11.8308
ATP1	YBL099W	P07251	ATP3	YBR039W	P38077	P07251-P38077-EXP-3zia.pdb2-A-0-G-0.pdb	506.848632812	31.5609	14.3866	-11.4637	31.6899	11.8041
ATP15	YPL271W	P21306	ATP3	YBR039W	P38077	P21306-P38077-EXP-3zia.pdb2-I-0-G-0.pdb	1205.82592773	5.57387	13.6982	-20.8253	41.2992	13.507
ATP6	Q0085	P00854	ATP8	Q0080	P00856	P00854-P00856-EXP-6b2z.pdb1-a-0-A-0.pdb	1720.40332031	19.8432	6.25745	-46.2472	91.023	13.7298
ATP6	Q0085	P00854	ATP4	YPL078C	P05626	P00854-P05626-EXP-6b8h.pdb1-a-0-b-0.pdb	1073.37890625	18.2052	23.2727	-27.8869	88.881	78.6932
ATP8	Q0080	P00856	ATP4	YPL078C	P05626	P00856-P05626-EXP-6b8h.pdb1-A-0-b-0.pdb	178.032470703	7.15646	22.2203	-3.57198	5.29979	73.4718
ATP6	Q0085	P00854	ATP7	YKL016C	P30902	P00854-P30902-EXP-6b8h.pdb1-p-0-r-0.pdb	748.215820312	17.6964	11.7523	-7.3912	85.5942	117.556
ATP8	Q0080	P00856	ATP7	YKL016C	P30902	P00856-P30902-EXP-6b8h.pdb1-A-0-d-0.pdb	800.400146484	6.42975	10.967	-22.7409	9.00158	117.786
ATP4	YPL078C	P05626	ATP7	YKL016C	P30902	P05626-P30902-EXP-6b8h.pdb1-q-0-r-0.pdb	1134.07666016	24.8809	19.4418	-22.6501	84.7872	133.597
ATP1	YBL099W	P07251	ATP7	YKL016C	P30902	P07251-P30902-EXP-6cp6.pdb1-B-0-7-0.pdb	424.7490234380001	46.0634	10.7011	-2.15284	145.23	94.1266
ATP6	Q0085	P00854	OLI1	Q0130	P61829	P00854-P61829-EXP-6b8h.pdb1-a-0-2-0.pdb	629.8117675780001	18.509	3.12444	-16.6576	85.0231	19.8204
ATP8	Q0080	P00856	OLI1	Q0130	P61829	P00856-P61829-EXP-6b8h.pdb1-V-0-M-0.pdb	113.541259766	8.91691	3.04763	-3.44824	5.36945	17.7789
ATP3	YBR039W	P38077	OLI1	Q0130	P61829	P38077-P61829-EXP-6cp6.pdb1-G-0-S-0.pdb	98.5729980469	19.464	7.66931	0.8373	13.1776	50.5733
ATP6	Q0085	P00854	ATP18	YML081C-A	P81450	P00854-P81450-EXP-6b8h.pdb1-p-0-w-0.pdb	798.8718261719999	16.5123	3.85202	-15.597	84.0929	36.5479
ATP8	Q0080	P00856	ATP18	YML081C-A	P81450	P00856-P81450-EXP-6b8h.pdb1-A-0-i-0.pdb	913.994628906	6.17165	3.58947	-21.3456	8.86429	39.823
ATP7	YKL016C	P30902	ATP18	YML081C-A	P81450	P30902-P81450-EXP-6b8h.pdb1-r-0-w-0.pdb	225.237060547	11.0291	3.12076	-4.16356	115.622	35.1415
ATP6	Q0085	P00854	ATP19	YOL077W-A	P81451	P00854-P81451-EXP-6b2z.pdb1-M-0-T-0.pdb	492.078369141	18.5888	0.753103	-11.8608	82.9277	24.0443
ATP6	Q0085	P00854	ATP17	YDR377W	Q06405	P00854-Q06405-EXP-6b8h.pdb1-a-0-f-0.pdb	945.595703125	16.9713	15.7772	-13.1537	84.3942	69.0382
ATP8	Q0080	P00856	ATP17	YDR377W	Q06405	P00856-Q06405-EXP-6b8h.pdb1-A-0-f-0.pdb	168.164794922	6.74994	15.0099	-1.92815	5.67078	64.1719
ATP4	YPL078C	P05626	ATP17	YDR377W	Q06405	P05626-Q06405-EXP-6b8h.pdb1-q-0-t-0.pdb	430.424560547	21.9197	15.2954	-9.11335	73.7331	63.5852
ATP7	YKL016C	P30902	ATP17	YDR377W	Q06405	P30902-Q06405-EXP-6cp6.pdb1-7-0-U-0.pdb	1066.80859375	11.9376	9.72946	-9.91707	97.3372	71.3032
MES1	YGR264C	P00958	ARC1	YGL105W	P46672	P00958-P46672-EXP-2hsn.pdb1-A-1-B-1.pdb	895.191650391	17.5004	5.74975	-19.2241	44.9175	-10.4597
GUS1	YGL245W	P46655	ARC1	YGL105W	P46672	P46655-P46672-EXP-2hrk.pdb1-A-0-B-0.pdb	779.4406738280001	6.63785	15.4337	-11.0239	-26.5836	-7.26249
PAI3	YMR174C	P01094	PEP4	YPL154C	P07267	P01094-P07267-EXP-1dpj.pdb1-B-0-A-0.pdb	1467.98803711	0.691914	24.5478	-34.4276	11.0933	9.589
YPT1	YFL038C	P01123	BET3	YKR068C	P36149	P01123-P36149-EXP-3cue.pdb3-R-0-Q-0.pdb	283.1328125	55.2474	58.309	4.34062	148.056	126.024
YPT1	YFL038C	P01123	GDI1	YER136W	P39958	P01123-P39958-EXP-2bcg.pdb1-Y-0-G-0.pdb	1399.8359375	10.5132	23.2191	-37.92	-14.4919	-86.6427
SEC4	YFL005W	P07560	GDI1	YER136W	P39958	P07560-P39958-EXP-3cph.pdb1-A-0-G-0.pdb	831.795898438	15.8644	30.1167	-21.2775	7.65927	-8.80974
YPT31	YER031C	P38555	GDI1	YER136W	P39958	P38555-P39958-EXP-3cpj.pdb1-B-0-G-0.pdb	1150.2578125	9.42746	27.2171	-21.9846	28.3757	-51.5325
YPT1	YFL038C	P01123	BET5	YML077W	Q03630	P01123-Q03630-EXP-3cue.pdb2-L-0-I-0.pdb	162.827636719	52.8838	50.2062	-1.83899	145.84	128.687
BET3	YKR068C	P36149	BET5	YML077W	Q03630	P36149-Q03630-EXP-3cue.pdb4-W-0-U-0.pdb	1019.66894531	55.0362	58.8428	-7.18408	124.526	132.059
YPT1	YFL038C	P01123	TRS23	YDR246W	Q03784	P01123-Q03784-EXP-3cue.pdb4-X-0-S-0.pdb	884.0766601560001	49.8402	44.5485	-6.38372	144.4	75.2629
BET3	YKR068C	P36149	TRS23	YDR246W	Q03784	P36149-Q03784-EXP-3cue.pdb2-J-0-G-0.pdb	1150.95214844	44.7338	40.6863	-12.4962	133.656	77.0757
TRS31	YDR472W	Q03337	TRS23	YDR246W	Q03784	Q03337-Q03784-EXP-3cue.pdb4-T-0-S-0.pdb	472.854003906	46.2085	40.2007	-7.87123	109.421	71.02
BET5	YML077W	Q03630	TRS23	YDR246W	Q03784	Q03630-Q03784-EXP-3cue.pdb3-O-0-M-0.pdb	1424.48876953	55.2904	37.7879	-27.9596	130.992	74.5603
HTB1	YDR224C	P02293	HHF1	YBR009C	P02309	P02293-P02309-EXP-4jjn.pdb1-H-0-F-0.pdb	490.335693359	5.35344	5.94631	-14.322	15.2533	38.283
HTB1	YDR224C	P02293	HHF2	YNL030W	P02309	P02293-P02309-EXP-4jjn.pdb1-H-0-F-0.pdb	490.335693359	5.35344	5.94631	-14.322	15.2533	38.283
HTB2	YBL002W	P02294	HHF1	YBR009C	P02309	P02294-P02309-EXP-4jjn.pdb1-D-0-F-0.pdb	271.427734375	3.61255	5.90734	-1.91225	22.6776	34.8141
HTB2	YBL002W	P02294	HHF2	YNL030W	P02309	P02294-P02309-EXP-4jjn.pdb1-D-0-F-0.pdb	271.427734375	3.61255	5.90734	-1.91225	22.6776	34.8141
HTB1	YDR224C	P02293	HTA1	YDR225W	P04911	P02293-P04911-EXP-4wnn.pdb1-B-0-A-0.pdb	2415.36230469	3.50706	5.27387	-88.7089	10.7966	6.18667
HTB2	YBL002W	P02294	HTA1	YDR225W	P04911	P02294-P04911-EXP-5bt1.pdb1-D-0-C-0.pdb	2338.96606445	4.48069	3.22968	-88.2599	10.7186	17.8898
HHF1	YBR009C	P02309	HTA1	YDR225W	P04911	P02309-P04911-EXP-4jjn.pdb1-F-0-C-0.pdb	381.293945312	6.61891	6.37092	-6.50455	36.1963	24.9224
HHF2	YNL030W	P02309	HTA1	YDR225W	P04911	P02309-P04911-EXP-4jjn.pdb1-F-0-C-0.pdb	381.293945312	6.61891	6.37092	-6.50455	36.1963	24.9224
HTB1	YDR224C	P02293	HTA2	YBL003C	P04912	P02293-P04912-EXP-4wnn.pdb1-B-0-A-0.pdb	2415.36230469	3.50706	5.27387	-88.7089	10.7966	6.18667
HTB2	YBL002W	P02294	HTA2	YBL003C	P04912	P02294-P04912-EXP-5bt1.pdb1-D-0-C-0.pdb	2338.96606445	4.48069	3.22968	-88.2599	10.7186	17.8898
